node,_wkshell,degree_centrality,betweenness_centrality,eigenvector_centrality,closeness_centrality,load_centrality,pagerank,information_centrality
AT1G01040,0,0.00183094293561184,8.209641803735711e-05,0.0010279653955959697,0.19198415732295937,8.935314808846346e-05,0.0003239874870951324,0.0003665332205887963
AT1G01050,0,0.0003051571559353067,0.0,4.076939759057659e-54,0.0003051571559353067,0.0,0.000339092250046625,0.0
AT1G01060,0,0.0021361000915471468,0.00020260583410027018,0.010274775944055703,0.19422871099392147,0.00022944941710578156,0.00034399323964974125,0.00041310861348081305
AT1G01090,0,0.0006103143118706134,0.0002482642689003575,0.00021286806561465152,0.17345389991081295,0.00024230185090515273,0.00022841095058172902,0.0002545888485641708
AT1G01100,0,0.0006103143118706134,3.7259725999426945e-07,2.5653317109476525e-48,0.00068660360085444,3.7259725999426945e-07,0.000440225011313532,0.0
AT1G01120,0,0.0012206286237412267,0.00038183345963431324,0.0005465862143517655,0.18763146706657838,0.0004406099391917983,0.00027799015372856974,0.00036638654409720085
AT1G01140,0,0.0024412572474824534,0.0009714639794761561,0.008018653393752743,0.20487429668829918,0.0009754686837165354,0.0004171142012124628,0.0004266099109901468
AT1G01160,0,0.0033567287152883735,0.0005454634493445529,0.05248273478115967,0.21801875433525916,0.0005565277757029505,0.0005059983229780965,0.00045146988671592364
AT1G01200,0,0.0,0.0,7.242099824824882e-69,0.0,0.0,5.0863837506993766e-05,0.0
AT1G01230,0,0.003051571559353067,0.0008482551088364121,0.0004614728606358946,0.18813513344910757,0.000846233416726196,0.0005450042245123459,0.00044191778854973143
AT1G01340,0,0.0033567287152883735,0.0025876138330510425,0.0017376425150280358,0.19798366223930183,0.002652854988677423,0.0008565247974045654,0.00041345888664224266
AT1G01360,0,0.006713457430576747,0.008611602013246083,0.05175942246851911,0.2278763387367213,0.008109240910985941,0.000956932444344919,0.00048544511920633365
AT1G01510,0,0.0012206286237412267,5.5535003750814656e-06,4.890919729622411e-05,0.15454512995085523,8.42905810367824e-06,0.00019426456532741805,0.0002829910391352066
AT1G01560,0,0.0006103143118706134,0.00014678647518895545,0.00039074616524345876,0.18248648705018805,0.00016759012114995139,0.00021098394803370512,0.0002635439454251531
AT1G01610,0,0.0,0.0,7.242099824824882e-69,0.0,0.0,5.0863837506993766e-05,0.0
AT1G01620,0,0.003967043027158987,0.0008605617385026103,0.0005029651671294664,0.18940620942883296,0.0009086175755718247,0.0006849952612118833,0.00045206622594683496
AT1G01820,0,0.0003051571559353067,0.0,1.2308893295102845e-43,0.000549282880683552,0.0,0.00020711027118434266,0.0
AT1G01880,0,0.0003051571559353067,0.0,0.00026050599660750763,0.15666100348189518,0.0,8.552397109547527e-05,0.0002046742148497093
AT1G02090,0,0.003967043027158987,0.002022624319917635,0.0042829597790706294,0.20708762011512566,0.002062191350959941,0.0007272289084622434,0.00044710604364291996
AT1G02140,0,0.00366188587122368,0.0039006315812948607,0.002775773588723282,0.1926437833573966,0.0038191900789299772,0.0007513823840725695,0.00036788719727257654
AT1G02280,0,0.0021361000915471468,0.0009047185939630081,0.0009348589621950971,0.20082010439172737,0.0009235099166068105,0.0004060798657484061,0.0003942877863853096
AT1G02340,0,0.0051876716509002135,0.0009633427001388935,0.02487645906229639,0.21437191032754838,0.0009838224795045694,0.0006589053414744431,0.00047088587262974444
AT1G02450,0,0.0015257857796765334,0.00026494137255699663,0.021007017689969914,0.2102126652776091,0.000250848699881195,0.000253117353876203,0.00039894186084713526
AT1G02500,0,0.0006103143118706134,5.5558067442797555e-05,0.0002311987044881323,0.1684764818094059,6.048869098479411e-05,0.0001854647321264868,0.00027771957343471405
AT1G02510,0,0.0003051571559353067,0.0,7.836028190947842e-05,0.15976342255640483,0.0,0.00011710559140112563,0.00019498421956108282
AT1G02560,0,0.0003051571559353067,0.0,9.948304173358914e-05,0.1629675138676654,0.0,0.00011161224915069885,0.00020310546276833337
AT1G02580,0,0.0012206286237412267,0.0,0.0001269151111823285,0.1545025438031697,0.0,0.00022410481819862873,0.00025732790118733413
AT1G02690,0,0.006103143118706134,0.006941304157748298,0.020392647701078452,0.2198352211180956,0.007116336121864028,0.0010397635433109544,0.00047897877955892964
AT1G02740,0,0.0003051571559353067,0.0,0.003940318645165204,0.1887050000712504,0.0,8.801519253987441e-05,0.00021305624446951499
AT1G02780,0,0.0003051571559353067,0.0,0.0007190440787412566,0.18101363404736168,0.0,0.000133670380918685,0.00021116138453827903
AT1G02840,0,0.0021361000915471468,0.0003454555802302496,0.0008195268955757182,0.17372261238162753,0.00037378991857732333,0.0003457288460418963,0.00039666034286373335
AT1G02970,0,0.00091547146780592,9.754370283025372e-05,0.0008968405644131401,0.16803468388752613,0.00012208695551326265,0.00018032909775003838,0.0003200716056801646
AT1G03060,0,0.0003051571559353067,0.0,5.364313795798446e-07,0.1193337727916788,0.0,0.00015242894814016905,0.0001479690665200705
AT1G03130,0,0.0024412572474824534,0.0023675804329903486,0.02220860322956253,0.22841011567846126,0.0020833288198750877,0.00045220185809118074,0.00044065194897199297
AT1G03190,0,0.0003051571559353067,0.0,4.076939759057659e-54,0.0003051571559353067,0.0,0.000339092250046625,0.0
AT1G03330,0,0.0,0.0,7.242099824824882e-69,0.0,0.0,5.0863837506993766e-05,0.0
AT1G03350,0,0.0003051571559353067,0.0,0.0032075640948328954,0.1905002060517125,0.0,8.841984802397111e-05,0.00021166583573660984
AT1G03360,0,0.0006103143118706134,0.0,1.7330296303017658e-45,0.0006103143118706134,0.0,0.000339092250046625,0.0
AT1G03445,0,0.0003051571559353067,0.0,3.301977008994196e-06,0.13218358730752705,0.0,0.0001359143770037583,0.0001525823405479214
AT1G03600,0,0.0006103143118706134,0.00017646581850494579,0.0008836486213191454,0.18452846189294153,0.00021182194034474478,0.00018185453319868335,0.0002917055613070198
AT1G03630,0,0.0015257857796765334,0.00032511296628277516,0.0014026331858535454,0.1918199560252148,0.000397596254641687,0.0002895346047758496,0.0003248432690462743
AT1G03680,0,0.0003051571559353067,0.0,0.0002726662348740372,0.17949251107217376,0.0,0.00012488491090573408,0.00020774963178880063
AT1G03740,0,0.0006103143118706134,0.0,4.076939759057659e-54,0.0,0.0,0.000339092250046625,0.0
AT1G03760,0,0.0003051571559353067,0.0,0.0003505627222722661,0.17985235973109953,0.0,0.0001309418323950282,0.00021191811470673558
AT1G03860,0,0.0003051571559353067,0.0,0.0019587096637351136,0.18133561819589353,0.0,9.254002307402783e-05,0.0002092617047155585
AT1G03910,0,0.0,0.0,7.242099824824882e-69,0.0,0.0,5.0863837506993766e-05,0.0
AT1G03960,0,0.0003051571559353067,0.0,0.0032075640948328954,0.1905002060517125,0.0,8.841984802397111e-05,0.00021166583573660984
AT1G04050,0,0.0003051571559353067,0.0,8.237293884209881e-06,0.14434954790801385,0.0,0.00012358117710492,0.00018673403383388692
AT1G04170,0,0.0003051571559353067,0.0,0.00031915019060470577,0.1794637853762352,0.0,0.00010880846939866503,0.0002104171151660565
AT1G04240,0,0.010375343301800427,0.00391405958705773,0.10952659645109232,0.23323200143997622,0.003667254930570699,0.0012079234351724758,0.0004974866443448054
AT1G04250,0,0.011595971925541654,0.0051356046742627465,0.13142660554070812,0.237053052092465,0.00491800998701459,0.0013510189113488315,0.000499770590581787
AT1G04270,0,0.0003051571559353067,0.0,0.00016885473415685252,0.17090291288934017,0.0,0.00011722456275801201,0.0002077123060561806
AT1G04310,0,0.00274641440341776,0.0011008301488188053,0.00040574728916734554,0.18950223285566634,0.0011852552299799351,0.000558946677258979,0.00040407613398703356
