node,_wkshell,degree_centrality,betweenness_centrality,eigenvector_centrality,closeness_centrality,load_centrality,pagerank,information_centrality
AT1G01040,0,0.0009454774661203907,0.0006550190039482201,1.4658718220111129e-05,0.22123287104214875,0.0007099340642716982,0.00028572975907196135,0.00022979286401420844
AT1G09700,0,0.0009454774661203907,0.0012673466143416027,4.329632153205966e-05,0.22923219235445683,0.0013262014544942599,0.000296936157359295,0.00022669417140592797
AT3G20550,0,0.0003151591553734636,0.0,2.6295164770203795e-07,0.17965310840007317,0.0,0.0001284338971796903,0.00013545096962780783
AT4G15900,0,0.002836432398361172,0.0027183852037590294,0.0007739930444792726,0.28762689160805915,0.002946173037074021,0.00048064206822242335,0.0004080936195052579
AT1G01050,0,0.0003151591553734636,0.0,0.0022029217240375175,0.29309718555063025,0.0,9.297384482036104e-05,0.00019683819962996123
AT5G03240,0,0.22187204538291835,0.38752226774785614,0.12291377365341734,0.42271165438692443,0.3740487716723994,0.037737345222768955,0.00048796800109465445
AT1G01060,0,0.0012606366214938543,0.0,1.7486980743968327e-09,0.14740603811589825,0.0,0.0002953007253931237,0.00011496712991984711
AT2G46830,0,0.0018909549322407813,0.002407112502280234,9.376535770049055e-08,0.17426113792661974,0.002407112502280234,0.0004564055679538922,0.00014770151927687627
AT4G18390,0,0.0009454774661203907,0.00030114987387672387,1.718828529217077e-09,0.14741353816871783,0.00030114987387672387,0.0003057346735158885,0.0001187359735050993
AT1G01090,0,0.002206114087614245,0.00016731367832586,0.002979194844830942,0.28315731813604184,0.00019304036452253597,0.0002855491774535396,0.0004001029370014111
AT1G30120,0,0.0034667507091080993,0.00023211852233556007,0.0008929379882502014,0.27941611333474586,0.0002031997419343598,0.00042364921937940544,0.00042819208975001865
AT2G34590,0,0.0034667507091080993,0.000985238814024448,0.0007779409980439366,0.28485553821334975,0.001025150636119481,0.0004484622340770525,0.0004283315321439224
AT3G02520,0,0.012291207059565079,0.0020506723291430365,0.0023433754534534367,0.299799842629137,0.002011902577263662,0.0015230505101775623,0.00046777886273554817
AT4G29040,0,0.04979514654900725,0.02326007634099972,0.14133314762724836,0.34860614597136086,0.02318622861384945,0.004019357133989742,0.00048356195265188845
AT5G06290,0,0.017964071856287425,0.006543348010567231,0.002995219952689205,0.28860102392349635,0.006594374142949965,0.0025390775268118644,0.0004705712896376527
AT5G16050,0,0.012921525370312006,0.0029398911202183392,0.0050411501084439,0.30973547991960443,0.0029013626159249016,0.0016027759362068777,0.0004685270529071369
AT5G38480,0,0.054522533879609196,0.06592057003943454,0.012866386095277174,0.3606255513029599,0.06571066811984502,0.009028715301625164,0.00048244865111225327
AT1G01100,0,0.0006303183107469272,0.0,0.0026812182979577565,0.2202741335944636,0.0,7.802868288054435e-05,0.00027587227552862474
AT2G40010,0,0.01859439016703435,0.0012974168356768,0.1130564755499193,0.28620623127215056,0.001215269652672221,0.0010020026845945845,0.00047551336550635337
AT3G44590,0,0.005988023952095808,0.00021490405823807062,0.03660771344251759,0.270015440742589,0.0003151428418089893,0.00036653153632593534,0.00045014124132250206
AT1G01120,0,0.0003151591553734636,0.0,0.00018389754775741918,0.2587537446787514,0.0,9.440445369895753e-05,0.0001954580852231001
AT5G65430,0,0.04002521273242987,0.04448501388201027,0.010257346344437755,0.354796188974771,0.04515247414935384,0.006962613787944772,0.0004795734297866038
AT1G01140,0,0.0003151591553734636,0.0,9.952183462525644e-05,0.24530231810752517,0.0,0.00010529693137974606,0.00019611387729304782
AT4G18710,0,0.0857232902615821,0.11654880358962277,0.005550451244789048,0.32998470149976994,0.1159986380048654,0.01837963884328059,0.0004835407051721596
AT1G01160,0,0.0003151591553734636,0.0,1.8256431927598162e-29,0.0003151591553734636,0.0,0.000315059861373661,0.0
AT5G53660,0,0.0003151591553734636,0.0,1.8256431927598162e-29,0.0003151591553734636,0.0,0.000315059861373661,0.0
AT1G01200,0,0.0003151591553734636,0.0,0.0015623494615123743,0.23194825707853495,0.0,7.443122497232391e-05,0.0001954863499611198
AT5G46630,0,0.03151591553734636,0.014436014223237587,0.08720983596903444,0.30626487094798943,0.01420826229469007,0.00316021569442171,0.0004797436218131705
AT1G01230,0,0.0003151591553734636,0.0,5.569480629022023e-28,0.0004202122071646181,0.0,0.00024656409750972627,0.0
AT4G36480,0,0.0006303183107469272,1.9871321271971224e-07,7.8764350409371895e-28,0.0006303183107469272,1.9871321271971224e-07,0.0004520513891015305,0.0
AT1G01340,0,0.0003151591553734636,0.0,0.00023066772947692805,0.26184054940514956,0.0,9.201835516178862e-05,0.00019593399925961242
AT1G01360,0,0.0003151591553734636,0.0,6.397216658634859e-05,0.2345014714016981,0.0,0.00010193162829305988,0.00018256899603581516
AT4G26080,0,0.005357705641348881,0.006854158276971369,0.0035684157660876956,0.3107320548228207,0.0070427225495496406,0.0010888737814087404,0.0004087670269760517
AT1G01510,0,0.0003151591553734636,0.0,9.952183462525644e-05,0.24530231810752517,0.0,0.00010529693137974606,0.00019611387729304782
AT1G01560,0,0.0003151591553734636,0.0,0.00015125855692631418,0.2283469167061775,0.0,0.00011076661246448503,0.00019286002602563926
