name,_wkshell
AT1G20610,131.0
AT1G20620,80.0
AT1G20630,20.0
AT1G20640,2.0
AT1G20700,197.0
AT1G20840,80.0
AT1G20850,5.0
AT1G20870,13.0
AT1G20920,nan
AT1G20930,203.0
AT1G20950,18.0
AT1G20960,62.0
AT1G20970,19.0
AT1G21250,5.0
AT1G21270,8.0
AT1G21400,45.0
AT1G21410,63.0
AT1G21560,62.0
AT1G21690,31.0
AT1G21700,233.0
AT1G21750,3.0
AT1G21780,4.0
AT1G21980,2.0
AT1G22150,50.0
AT1G22280,20.0
AT1G22300,28.0
AT1G22440,nan
AT1G22700,43.0
AT1G22710,50.0
AT1G22760,3.0
AT1G22770,162.0
AT1G22780,9.0
AT1G22840,37.0
AT1G22920,266.0
AT1G22970,20.0
AT1G23080,40.0
AT1G23190,43.0
AT1G23290,nan
AT1G23490,1.0
AT1G23820,5.0
AT1G23860,64.0
AT1G23900,6.0
AT1G23980,43.0
AT1G24020,42.0
AT1G24050,19.0
AT1G24190,17.0
AT1G24260,76.0
AT1G24280,11.0
AT1G24310,5.0
AT1G24360,42.0
AT1G24510,4.0
AT1G24590,59.0
AT1G25260,8.0
AT1G25280,56.0
AT1G25310,4.0
AT1G25490,223.0
AT1G25540,80.0
AT1G26110,16.0
AT1G26260,77.0
AT1G26460,1.0
AT1G26480,nan
AT1G26550,nan
AT1G26570,nan
AT1G26630,26.0
AT1G26670,6.0
AT1G26830,29.0
AT1G26850,nan
AT1G26880,nan
AT1G26910,1.0
AT1G26960,30.0
AT1G27020,nan
AT1G27030,nan
AT1G27070,80.0
AT1G27100,nan
AT1G27190,151.0
AT1G27310,4.0
AT1G27450,nan
AT1G27630,8.0
AT1G27650,47.0
AT1G27840,16.0
AT1G27970,4.0
AT1G28060,11.0
AT1G28120,nan
AT1G28200,20.0
AT1G28420,53.0
AT1G28480,76.0
AT1G28490,28.0
AT1G29150,19.0
AT1G29170,47.0
AT1G29260,49.0
AT1G29330,52.0
AT1G29400,10.0
AT1G29670,62.0
AT1G29880,80.0
AT1G29900,2.0
AT1G29910,80.0
AT1G29920,77.0
AT1G29930,80.0
AT1G29990,2.0
AT1G30070,27.0
AT1G30120,92.0
AT1G30210,165.0
AT1G30230,16.0
AT1G30270,62.0
AT1G30320,20.0
AT1G30330,193.0
AT1G30360,38.0
AT1G30380,nan
AT1G30400,4.0
AT1G30440,5.0
AT1G30460,199.0
AT1G30480,62.0
AT1G30490,198.0
AT1G30530,16.0
AT1G30580,62.0
AT1G30690,80.0
AT1G30860,47.0
AT1G30950,63.0
AT1G30970,73.0
AT1G31190,nan
AT1G31230,80.0
AT1G31280,nan
AT1G31330,80.0
AT1G31340,4.0
AT1G31420,124.0
AT1G31440,16.0
AT1G31760,nan
AT1G31770,4.0
AT1G31780,31.0
AT1G32060,42.0
AT1G32100,83.0
AT1G32230,93.0
AT1G32350,29.0
AT1G32360,nan
AT1G32380,22.0
AT1G32440,16.0
AT1G32530,1.0
AT1G32580,50.0
AT1G32640,236.0
AT1G32900,nan
AT1G32990,42.0
AT1G33040,nan
AT1G33050,11.0
AT1G33140,62.0
AT1G33810,7.0
AT1G34030,nan
AT1G34170,13.0
AT1G34430,49.0
AT1G34470,50.0
AT1G34760,nan
AT1G34790,10.0
AT1G35160,24.0
AT1G35460,130.0
AT1G35520,nan
AT1G35580,51.0
AT1G35670,132.0
AT1G35720,44.0
AT1G37130,140.0
AT1G41880,43.0
AT1G42560,14.0
AT1G42970,80.0
AT1G43170,62.0
AT1G43700,68.0
AT1G43790,5.0
AT1G43850,26.0
AT1G43860,35.0
AT1G44000,12.0
AT1G44110,107.0
AT1G44575,31.0
AT1G45000,43.0
AT1G45170,nan
AT1G45249,161.0
AT1G45474,4.0
AT1G46480,180.0
AT1G47128,80.0
AT1G47200,4.0
AT1G47220,29.0
AT1G47230,203.0
AT1G47250,7.0
AT1G47260,59.0
AT1G47290,nan
AT1G47380,80.0
AT1G47420,nan
AT1G47550,6.0
AT1G47710,3.0
AT1G47830,3.0
AT1G47870,131.0
AT1G48050,2.0
AT1G48110,nan
AT1G48175,1.0
AT1G48210,nan
AT1G48270,36.0
AT1G48410,79.0
AT1G48420,12.0
AT1G48480,82.0
AT1G48500,167.0
AT1G48520,nan
AT1G48560,8.0
AT1G48630,99.0
AT1G48760,3.0
AT1G48830,62.0
AT1G48850,42.0
AT1G48900,6.0
AT1G48920,nan
AT1G49240,80.0
AT1G49480,2.0
AT1G49620,203.0
AT1G49670,19.0
AT1G49720,161.0
AT1G49760,5.0
AT1G49820,62.0
AT1G49970,43.0
AT1G50010,20.0
AT1G50030,9.0
AT1G50250,23.0
AT1G50320,62.0
AT1G50370,80.0
AT1G50410,nan
AT1G50420,98.0
AT1G50430,17.0
AT1G50460,11.0
AT1G50500,2.0
AT1G50600,nan
AT1G50670,5.0
AT1G50740,45.0
AT1G51070,2.0
AT1G51090,62.0
AT1G51100,31.0
AT1G51460,50.0
AT1G51500,30.0
AT1G51510,29.0
AT1G51560,27.0
AT1G51590,1.0
AT1G51600,192.0
AT1G51650,8.0
AT1G51660,149.0
AT1G51690,nan
AT1G51710,20.0
AT1G51800,81.0
AT1G51950,215.0
AT1G51980,8.0
AT1G52040,2.0
AT1G52230,80.0
AT1G52240,97.0
AT1G52360,45.0
AT1G52380,10.0
AT1G52400,19.0
AT1G52410,3.0
AT1G52510,31.0
AT1G52560,32.0
AT1G52600,50.0
AT1G52740,11.0
AT1G52760,38.0
AT1G52920,16.0
AT1G53020,6.0
AT1G53090,83.0
AT1G53230,255.0
AT1G53310,nan
AT1G53320,33.0
AT1G53430,30.0
AT1G53440,33.0
AT1G53720,52.0
AT1G53900,nan
AT1G54000,5.0
AT1G54010,45.0
AT1G54030,62.0
AT1G54040,80.0
AT1G54140,16.0
AT1G54170,nan
AT1G54320,76.0
AT1G54360,35.0
AT1G54370,nan
AT1G54410,22.0
AT1G54440,62.0
AT1G54490,25.0
AT1G54610,92.0
AT1G54820,43.0
AT1G54830,125.0
AT1G54840,14.0
AT1G55150,16.0
AT1G55300,12.0
AT1G55310,40.0
AT1G55350,nan
AT1G55460,1.0
AT1G55490,45.0
AT1G55540,3.0
AT1G55610,80.0
AT1G55670,80.0
AT1G55750,70.0
AT1G55890,12.0
AT1G56070,16.0
AT1G56220,19.0
AT1G56330,30.0
AT1G56340,45.0
AT1G56450,33.0
AT1G56580,nan
AT1G56650,149.0
AT1G57660,nan
AT1G57720,1.0
AT1G58100,252.0
AT1G58230,45.0
AT1G58270,43.0
AT1G58983,nan
AT1G59580,256.0
AT1G59610,8.0
AT1G59620,45.0
AT1G59750,111.0
AT1G59830,3.0
AT1G59870,92.0
AT1G59900,15.0
AT1G59990,1.0
AT1G60080,11.0
AT1G60160,1.0
AT1G60220,21.0
AT1G60420,nan
AT1G60620,4.0
AT1G60650,40.0
AT1G60780,80.0
AT1G60850,19.0
AT1G60940,5.0
AT1G60950,80.0
AT1G61010,3.0
AT1G61150,1.0
AT1G61170,62.0
AT1G61210,16.0
AT1G61250,12.0
AT1G61520,80.0
AT1G61560,11.0
AT1G61690,5.0
AT1G61730,5.0
AT1G61870,2.0
AT1G61980,24.0
AT1G62180,22.0
AT1G62300,85.0
AT1G62360,62.0
AT1G62380,12.0
AT1G62740,8.0
AT1G62780,4.0
AT1G62830,2.0
AT1G62960,19.0
AT1G63000,2.0
AT1G63160,2.0
AT1G63700,19.0
AT1G63850,50.0
AT1G63940,2.0
AT1G63970,17.0
AT1G64040,5.0
AT1G64060,20.0
AT1G64230,80.0
AT1G64280,32.0
AT1G64330,nan
AT1G64520,24.0
AT1G64750,12.0
AT1G64770,80.0
AT1G64780,8.0
AT1G64840,33.0
AT1G64990,16.0
AT1G65010,19.0
AT1G65030,16.0
AT1G65090,nan
AT1G65260,80.0
AT1G65310,1.0
AT1G65360,38.0
AT1G65380,17.0
AT1G65440,nan
