node,_wkshell,degree_centrality,betweenness_centrality,eigenvector_centrality,closeness_centrality,load_centrality,pagerank,information_centrality
AT1G01010,0,0.003683640303358613,0.002180044600603534,0.001802200033456593,0.2700517581269948,0.0022220876366957887,0.0003316224664364492,0.00019662151504572882
AT1G10030,0,0.0019501625135427952,0.00021208475600745244,0.010239941124605344,0.25723503999387576,0.00022469905966017955,0.00014187403939511546,0.0001888717785307166
AT1G12390,0,0.000866738894907909,5.732874723206558e-05,0.001176966978341479,0.24082954461390207,6.023232880816286e-05,9.821856321243929e-05,0.00016551063118440108
AT1G14360,0,0.00866738894907909,0.0012127249885680626,0.04720502137020079,0.27064717688443274,0.00123471179616657,0.0004600320162852007,0.00020392951831457354
AT1G16240,0,0.0007583965330444204,2.369699697384552e-05,0.001261965952677446,0.2380015945283187,1.7327394884125414e-05,7.93494409787309e-05,0.00016402136614892382
AT1G17080,0,0.0010834236186348862,0.00024730855247852827,0.001568178540190674,0.24115607055983682,0.00024410100693834016,0.0001173662912474554,0.00017214036880292195
AT1G21790,0,0.001733477789815818,0.0003351309784355734,0.0008994986722513584,0.2513375357605405,0.00034824701178618166,0.0001538286692572702,0.00018216559163867862
AT1G54330,0,0.010509209100758397,0.0025952161150974867,0.00013095852062636385,0.27400824944296864,0.0028074105137563883,0.000854276606435827,0.00020471773875549017
AT1G62880,0,0.0007583965330444204,6.0537910290376734e-05,0.0012397317336952424,0.2402321009408336,5.1590893824378673e-05,8.546582493804784e-05,0.00016308211800485767
AT1G65910,0,0.0024918743228602384,0.0004951835578268813,0.0002804072601667893,0.2696673903905598,0.0005533914868621341,0.0002123401052844622,0.00019193533240080213
AT1G75630,0,0.0015167930660888408,0.0001252898393821577,0.00190216665686692,0.2439301516984103,0.00013183838438666484,0.00014224165347129775,0.00017870357053226095
AT1G76670,0,0.0009750812567713976,8.86255203916873e-05,0.001269229081519394,0.24382096489110372,7.457767168369319e-05,0.00010261076093050456,0.00017153622329551055
AT1G77350,0,0.002058504875406284,0.00023325824969797114,0.005988710861949639,0.24933143727742818,0.0002325960527525774,0.00015461465643203554,0.00018971793586129558
AT2G02990,0,0.0006500541711809318,1.8741799539801037e-05,0.001103114691369836,0.23959149961602438,1.4403772588754291e-05,7.242036168034004e-05,0.00015827336032534756
AT2G20740,0,0.0004333694474539545,1.1328479677221609e-05,0.0010441772768593506,0.2372500446449572,7.368929369475049e-06,5.281310451433772e-05,0.00014155485548167585
AT2G31490,0,0.0007583965330444204,0.0003527069811713536,0.0012493373768132524,0.24911763298649428,0.00039270961350948273,8.315977164317096e-05,0.0001642284143886425
AT2G32380,0,0.0021668472372697724,0.00017661388993232588,0.007332210311060595,0.2525831152016375,0.00019450776426437297,0.0001531378987874584,0.000190435207202598
AT2G33120,0,0.0018418201516793066,0.0010395873509550452,0.0029441645097919257,0.25947126708245266,0.0010283773444458486,0.0001763858779926531,0.00018705019365539697
AT2G43510,0,0.0007583965330444204,0.0003256763954659824,0.0008831927877078764,0.23957174166504036,0.00033593123445995935,9.989891287044925e-05,0.00016098635718579123
AT2G44080,0,0.0019501625135427952,0.0003054921041976834,0.004424609269867959,0.2506941001016109,0.0003036966600189313,0.00015431573246676357,0.0001886290561806012
AT3G07950,0,0.0007583965330444204,2.7743379897056963e-05,0.0014259573242914837,0.24201322864690944,2.077355849715847e-05,8.006767908161428e-05,0.00016412253112161218
AT3G10260,0,0.0030335861321776816,0.000711132178585001,0.003244740380947112,0.24921023647582358,0.0007927453817086256,0.00030638830571680153,0.00019146571867740888
AT3G14740,0,0.0004333694474539545,0.00015047572171549182,8.020180554624782e-05,0.2661591201720111,0.0001486075991478306,5.7151869931545354e-05,0.00014188253152047403
AT3G25190,0,0.0005417118093174431,7.817872793946692e-06,0.00047333660367589414,0.23237915984622057,6.218889527374187e-06,6.0280239540194475e-05,0.00015098942267900754
