False_Positive_Rate,True_Positive_Rate
0.0,0.0
0.0,0.02
0.0,0.42
0.0022522522522522522,0.42
0.0022522522522522522,0.52
0.0045045045045045045,0.52
0.0045045045045045045,0.56
0.006756756756756757,0.56
0.006756756756756757,0.6
0.009009009009009009,0.6
0.009009009009009009,0.62
0.018018018018018018,0.62
0.018018018018018018,0.66
0.02252252252252252,0.66
0.02252252252252252,0.68
0.024774774774774775,0.68
0.024774774774774775,0.72
0.02927927927927928,0.72
0.02927927927927928,0.76
0.03153153153153153,0.76
0.03153153153153153,0.78
0.033783783783783786,0.78
0.033783783783783786,0.8
0.036036036036036036,0.8
0.036036036036036036,0.82
0.05405405405405406,0.82
0.05405405405405406,0.84
0.08108108108108109,0.84
0.08108108108108109,0.86
0.08783783783783784,0.86
0.08783783783783784,0.88
0.09684684684684684,0.88
0.09684684684684684,0.92
0.0990990990990991,0.92
0.0990990990990991,0.94
0.10810810810810811,0.94
0.10810810810810811,0.96
0.11036036036036036,0.96
0.11036036036036036,0.98
0.25675675675675674,0.98
0.25675675675675674,1.0
0.9279279279279279,1.0
0.9324324324324325,1.0
0.9436936936936937,1.0
0.9594594594594594,1.0
1.0,1.0
