name,_wkshell,_wks_percentile_bucket
AT4G34030,73.0,50.0
AT1G64280,13.0,20.0
AT4G35640,96.0,55.0
AT1G02500,141.0,65.0
AT4G35650,96.0,55.0
AT3G54170,334.0,95.0
AT4G37870,217.0,85.0
AT4G09000,337.0,95.0
AT5G03280,138.0,65.0
AT5G64740,230.0,90.0
AT5G05700,73.0,50.0
AT1G02510,217.0,75.0
AT5G07280,126.0,60.0
AT1G02560,217.0,85.0
AT5G10180,73.0,50.0
AT1G66670,16.0,20.0
AT5G14050,73.0,50.0
AT3G11630,289.0,95.0
AT5G14870,73.0,50.0
AT4G05420,249.0,90.0
AT5G15960,128.0,65.0
AT4G21100,258.0,90.0
AT5G16570,217.0,85.0
AT4G25370,41.0,35.0
AT5G22640,73.0,50.0
AT5G45390,44.0,35.0
AT5G25510,126.0,60.0
AT1G02580,27.0,25.0
AT5G39410,73.0,50.0
AT3G20740,40.0,35.0
AT5G43330,111.0,55.0
AT5G49160,17.0,25.0
AT5G43610,73.0,50.0
AT5G58230,268.0,95.0
AT5G44210,217.0,85.0
AT1G02690,34.0,30.0
AT5G56740,96.0,55.0
AT1G52380,229.0,90.0
AT5G67250,126.0,60.0
AT5G16850,294.0,95.0
AT4G09340,29.0,30.0
AT1G02740,39.0,35.0
AT4G09550,3.0,5.0
AT1G18450,300.0,95.0
AT5G05620,2.0,0.0
AT2G47210,159.0,65.0
AT4G10250,217.0,75.0
AT5G15840,128.0,65.0
AT4G10920,3.0,5.0
AT1G02780,324.0,95.0
AT5G09240,2.0,0.0
AT1G04270,314.0,95.0
AT5G09250,2.0,0.0
AT1G07770,324.0,95.0
AT4G10970,31.0,30.0
AT1G08360,320.0,95.0
AT4G11010,217.0,75.0
AT1G09590,324.0,95.0
AT4G11220,6.0,10.0
AT1G14320,324.0,95.0
AT4G11660,128.0,60.0
AT1G22780,324.0,95.0
AT4G11860,128.0,60.0
AT1G26880,311.0,95.0
AT5G02530,26.0,25.0
AT1G26910,324.0,95.0
AT4G12460,29.0,30.0
AT1G33140,322.0,95.0
AT4G12780,128.0,65.0
AT1G34030,324.0,95.0
AT4G13670,2.0,0.0
AT1G43170,330.0,95.0
AT4G13760,40.0,35.0
AT1G57660,324.0,95.0
AT4G13770,217.0,80.0
AT1G67430,324.0,95.0
AT4G13830,2.0,0.0
AT1G69620,310.0,95.0
AT4G13850,15.0,20.0
AT1G74050,324.0,95.0
AT4G24560,9.0,15.0
AT1G74060,324.0,95.0
AT4G30910,11.0,15.0
AT1G80670,333.0,95.0
AT4G14040,217.0,75.0
AT2G01250,324.0,95.0
AT4G14340,29.0,30.0
AT2G09990,324.0,95.0
AT5G54680,2.0,0.0
AT2G18020,328.0,95.0
AT4G14700,25.0,25.0
AT2G31610,324.0,95.0
AT4G32295,13.0,20.0
AT2G40590,324.0,95.0
AT4G15160,217.0,75.0
AT2G44120,324.0,95.0
AT4G15530,217.0,75.0
AT2G47610,324.0,95.0
AT4G15545,217.0,80.0
AT3G04840,324.0,95.0
AT4G16420,84.0,50.0
AT3G05560,324.0,95.0
AT4G16520,217.0,80.0
AT3G09500,319.0,95.0
AT4G16860,12.0,20.0
AT3G09630,324.0,95.0
AT4G17330,128.0,65.0
AT3G11510,320.0,95.0
AT4G17370,40.0,35.0
AT3G13580,324.0,95.0
AT4G17500,84.0,50.0
AT3G28900,310.0,95.0
AT4G17720,128.0,60.0
AT3G49010,324.0,95.0
AT4G17730,3.0,5.0
AT3G49910,328.0,95.0
AT5G16820,3.0,5.0
AT3G53870,324.0,95.0
AT4G17770,217.0,75.0
AT3G56340,324.0,95.0
AT5G57050,217.0,80.0
AT3G60245,315.0,95.0
AT4G18010,217.0,75.0
AT3G62870,324.0,95.0
AT4G18160,63.0,45.0
AT4G00100,324.0,95.0
AT4G20940,128.0,60.0
AT4G02195,193.0,70.0
AT4G22540,128.0,60.0
AT4G09800,324.0,95.0
AT4G24100,128.0,60.0
AT4G15000,326.0,95.0
AT4G26750,128.0,60.0
AT4G31700,323.0,95.0
AT4G27430,128.0,60.0
AT4G34670,324.0,95.0
AT4G31170,128.0,60.0
AT5G02450,324.0,95.0
AT4G32285,128.0,60.0
AT5G02870,325.0,95.0
AT4G33945,128.0,65.0
AT5G02960,321.0,95.0
AT4G35600,128.0,60.0
AT5G05760,238.0,90.0
AT4G35730,128.0,60.0
AT5G10360,321.0,95.0
AT4G38550,128.0,60.0
AT5G20290,324.0,95.0
AT5G03040,128.0,65.0
AT5G23740,324.0,95.0
AT5G04230,217.0,80.0
AT5G26980,196.0,70.0
AT5G05190,128.0,60.0
AT5G27850,325.0,95.0
AT5G05970,128.0,60.0
AT5G28060,324.0,95.0
AT5G07240,128.0,60.0
AT5G35530,324.0,95.0
AT5G09620,128.0,60.0
AT5G45410,316.0,95.0
AT5G09680,128.0,60.0
AT5G46860,249.0,90.0
AT5G10470,128.0,60.0
AT5G59850,324.0,95.0
AT5G11500,128.0,60.0
AT1G02840,217.0,80.0
AT5G12140,128.0,60.0
AT1G16610,217.0,80.0
AT5G12900,128.0,60.0
AT2G37340,217.0,80.0
AT5G13300,128.0,60.0
AT3G49430,217.0,80.0
AT5G16720,128.0,60.0
AT5G62600,217.0,80.0
AT5G18610,128.0,60.0
AT1G02970,24.0,25.0
AT5G21990,128.0,65.0
AT2G23350,217.0,80.0
AT5G22120,128.0,60.0
AT2G28380,4.0,10.0
AT5G24010,128.0,60.0
AT3G54650,27.0,25.0
AT5G28050,217.0,80.0
AT3G56860,63.0,45.0
AT5G37020,128.0,60.0
AT3G62930,4.0,10.0
AT5G43130,128.0,65.0
AT5G25060,62.0,45.0
AT5G43960,128.0,60.0
AT1G03060,12.0,20.0
AT5G49760,128.0,60.0
AT1G08370,13.0,20.0
AT5G52310,128.0,60.0
AT2G22490,118.0,55.0
AT5G52430,128.0,60.0
AT1G03130,63.0,45.0
AT5G53400,128.0,65.0
AT2G20260,51.0,40.0
AT5G54430,217.0,80.0
AT4G28750,217.0,85.0
AT5G57870,128.0,60.0
AT5G25260,201.0,70.0
AT5G58060,217.0,80.0
AT1G03190,52.0,40.0
AT5G59700,128.0,60.0
AT1G05055,4.0,10.0
AT5G62810,128.0,60.0
AT1G55750,12.0,20.0
AT5G64430,128.0,60.0
AT1G66750,126.0,60.0
AT5G64850,128.0,60.0
AT2G39130,4.0,10.0
