node,homodimer,homotrimer,homotetramer,heterodimer,heterotrimer,heterotetramer,heteropentamer,heterohexamer,heteroheptamer,heterooctamer,heterononamer,heterodecamer,in_complex,complex_partners,complex_count_unknown,complex_count
AT1G04160,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G04170,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G04190,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G04210,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G04220,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G04240,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G04250,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G04270,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G04310,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G04360,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G04390,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G04400,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G04410,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G04430,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G04480,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G04510,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G04530,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G04550,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G04600,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G04630,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G04650,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G04680,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G04690,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G04750,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G04810,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G04820,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G04870,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G04950,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G05000,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G05010,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G05055,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G05140,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G05150,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G05160,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G05180,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G05190,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G05200,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G05385,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G05460,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G05470,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G05490,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G05500,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G05510,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G05520,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G05620,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G05670,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G05730,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G05740,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G05805,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G06000,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G06020,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G06030,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G06040,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G06070,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G06110,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G06210,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G06220,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G06290,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G06400,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G06410,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G06430,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G06460,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G06475,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G06515,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G06530,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G06590,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G06650,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G06680,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G06700,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G06720,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G06790,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G06820,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G06840,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G06950,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G06960,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G07000,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G07070,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G07110,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G07130,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G07140,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G07170,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G07220,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G07270,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G07310,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G07320,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G07360,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G07370,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G07400,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
