complex_string,stoichiometry,unknown_stoichiometry
YKL008C;YHL003C;YMR298W,1;1;2,0
YPL111W;YJL088W,3;3,0
YPL022W;YML095C;YMR201C,0;0;0,1
YJR052W;YKL112W;YBR114W,0;0;0,1
YJL006C;YML112W;YKL139W,0;0;0,1
YHR085W;YHR197W;YNL182C,0;0;0,1
YKR048C;YCR002C;YLR314C;YJR076C;YHR107C;YNL166C;YDL225W;YDR507C,0;0;0;0;0;0;0;0,1
YJR066W;YHR186C;YNL006W;YPL180W,0;0;0;0,1
YKL203C;YHR186C;YNL006W;YPL180W,0;0;0;0,1
YKL203C;YER093C;YNL006W;YJL058C;YMR068W;YOL078W,0;0;0;0;0;0,1
YKR020W;YDR484W;YJL029C;YDR027C,0;0;0;0,1
YKR027W;YJL099W;YMR237W;YOR299W;YLR330W,0;0;2;0;2,1
YNL072W;YDR279W;YLR154C,0;0;0,1
Q0045;Q0275;YMR256C;YLR038C,1;1;1;1;1;1;2;1;1;1;1,0
Q0045;Q0275;YMR256C;YLR038C,1;1;1;1;1;1;2;1;1;1;1,0
YBR279W;YOR123C;YGL244W;YOL145C;YLR418C,0;0;0;0;0,1
YKL188C;YPL147W,0;0,1
YCL016C;YBR087W;YNL290W;YHR191C;YOL094C;YJR068W;YMR078C,0;0;0;0;0;0;0,1
YMR284W;YMR106C,1;1,0
YOR206W;YDR060W,0;0,1
YOR206W;YLR002C,0;0,1
YPR144C;YDL148C,0;0,1
YLR060W;YFL022C,2;2,0
YPL057C;YBR036C,0;0,1
YBR036C;YBR161W,0;0,1
YJR045C,1;1,0
YJL035C;YLR316C,1;1,0
YGR285C;YHR064C,1;1,0
YHR083W;YMR060C;YNL026W,0;0;0,1
YGL145W;YNL258C;YLR440C,0;0;0,1
YAL009W;YHR004C,0;0,1
YHR167W;YDR138W;YML062C;YNL139C;YNL253W;YDL084W;YDR381W,0;0;0;0;0;0;0,1
YMR150C;YMR035W;YEL059C-A,0;0;0,1
YLR268W;YDR498C;YOR075W;YGL098W,1;1;1;1,0
YOR327C;YDR468C;YMR197C;YOL018C,1;1;1;1,0
YAL030W;YDR468C;YMR197C;YOL018C,1;1;1;1,0
YPR111W;YIL106W,1;1,0
YGL212W;YKL196C;YMR197C;YOR106W,1;1;1;1,0
YGL212W;YMR197C;YOR106W;YLR093C,1;1;1;1,0
YAL014C;YOR036W;YKL196C;YMR197C,1;1;1;1,0
YOR036W;YKL196C;YDR468C;YMR197C,1;1;1;1,0
YAL030W;YOR036W;YDR468C;YMR197C,1;1;1;1,0
YAL030W;YAL014C;YOR036W;YMR197C,1;1;1;1,0
YHR153C;YGL249W,1;1,0
YHR153C;YIL073C;YGL249W,1;0;1,1
YAL014C;YOR036W;YOR327C;YMR197C,1;1;1;1,0
YOR036W;YOR327C;YDR468C;YMR197C,1;1;1;1,0
YAL030W;YPL232W;YGR009C,1;1;1,0
YPL232W;YOR327C;YGR009C,1;1;1,0
YAL030W;YPL232W;YMR017W,0;0;0,1
YOR327C;YMR183C;YGR009C,1;1;1,0
YPL232W;YOR327C;YMR017W,0;0;0,1
YAL030W;YMR183C;YGR009C,1;1;1,0
YPL232W;YGR009C;YLR093C,1;1;1,0
YDL165W;YIL038C;YCR093W;YAL021C;YER068W;YNR052C;YGR134W;YNL288W;YPR072W,0;0;0;0;0;0;0;0;0,1
YPL174C;YMR294W;YHR129C;YDR106W;YLL049W,0;0;0;0;0,1
YOR368W;YLR288C;YPL194W,1;1;1,0
YER173W;YBR087W;YNL290W;YOL094C;YJR068W,0;0;0;0;0,1
YGL195W;YFR009W,0;0,1
YJR021C;YER044C-A;YMR133W,0;0;0,1
YBL052C;YPL129W;YJR082C;YOR064C;YPR031W,0;0;0;0;0,1
YDL042C;YLR442C;YDR227W,1;1;1,0
YPR165W;YLR342W,0;0,1
YPR165W;YGR032W,0;0,1
YCR060W;YHR034C;YDR190C;YPL235W,0;0;0;0,1
YNR017W;YJL143W;YGR033C;YPL063W;YPL098C,0;0;0;0;0,1
YJR045C;YNR017W;YKR065C;YOR232W;YJL143W;YJL104W;YIL022W;YPL063W;YLR008C,0;0;0;0;0;0;0;0;0,1
YGL237C;YBL021C;YKL109W;YOR358W,1;1;1;1,0
YOR361C;YMR309C;YBR079C;YMR146C;YDR429C,1;1;1;1;1,0
YLR105C;YAR008W;YPL083C;YMR059W,1;1;1;1,0
YLR378C;YDR086C;YER087C-B,0;0;0,1
YDR086C;YBR283C;YER019C-A,1;1;1,0
YIR022W;YJR010C-A;YML055W;YLR066W,0;0;0;0,1
YBL014C;YJL025W;YML043C,0;0;0,1
YGR003W;YNL230C;YPL046C;YOL133W,0;0;0;0,1
YNR044W;YGL032C,1;1,0
YER157W;YGL223C;YGL005C;YGR120C;YNL051W;YNL041C;YML071C;YPR105C,0;0;0;0;0;0;0;0,1
YDR075W;YBL046W;YNL201C,0;0;0,1
YBR217W;YPL149W,1;1,0
YBR217W;YMR159C;YPL149W,4;4;4,0
YER090W;YKL211C,1;1,0
YOL004W;YNL330C;YPL139C;YMR075W;YPR023C,1;1;0;2;2,1
YOL004W;YAL013W;YNL330C;YBR095C;YMR263W;YIL084C;YNL097C;YPL139C;YDL076C;YPL181W,2;1;2;1;1;1;1;0;1;0,1
YCR081W;YDR443C;YPL042C;YNL025C,0;0;0;0,1
YLR268W;YIL004C;YLR078C;YLR026C,1;1;1;1,0
YKL196C;YHL031C;YKL006C-A;YLR026C,1;1;1;1,0
YDL134C;YAL016W;YGL190C,1;1;1,0
YDL134C;YAL016W;YOR014W,1;1;1,0
YDL188C;YAL016W;YOR014W,1;1;1,0
YDL188C;YAL016W;YGL190C,1;1;1,0
YLL026W;YBR137W;YOR007C;YOR164C;YOL111C,0;0;0;1;1,1
YGR103W;YMR049C;YOR272W,0;0;0,1
YDL047W;YIL153W;YMR028W,1;0;0,1
YDL047W;YFR040W,1;0,1
YDL047W;YJL098W,1;0,1
YDL047W;YKR028W,0;0,1
YFL008W;YIL026C;YJL074C;YDL003W,0;0;0;0,1
YER147C;YDR180W,1;1,0
YBL097W;YFR031C;YLR272C;YDR325W;YLR086W,1;1;1;1;1,0
YKR023W;YGL110C;YGR271W,0;0;0,1
YCL010C;YCR082W;YDR176W;YDR448W;YGR252W;YOR023C,0;0;0;0;0;0,1
YDR392W;YCL010C;YDR176W;YER164W;YBR081C;YBR198C;YHR099W;YMR223W;YOL148C;YGL112C;YGL066W;YDR448W;YPL047W;YGR252W;YDR145W;YMR236W;YDR167W;YPL254W;YBR111W-A,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1
YCL017C;YKL192C;YPL135W;YDL120W;YPL252C;YER048W-A,2;2;2;2;2;2,0
YGL220W;YDR098C,1;1,0
YER174C;YGL220W,1;1,0
YPR170W-B;YBR127C;YDL185W;YOR332W;YHR026W;YEL027W;YKL080W;YLR447C;YEL051W;YPL234C;YMR054W;YGR020C;YPR036W;YHR039C-A;YGR106C;YCL005W-A,1;3;3;3;1;8;1;1;1;1;1;1;1;3;1;1,0
YPR170W-B;YBR127C;YDL185W;YOR332W;YHR026W;YEL027W;YKL080W;YLR447C;YOR270C;YEL051W;YPL234C;YGR020C;YPR036W;YHR039C-A;YGR106C;YCL005W-A,1;3;3;3;1;8;1;1;1;1;1;1;1;3;1;1,0
YER174C,2,0
YDR098C,2,0
YPL059W;YAL044W-A,1;1,0
YAL046C;YPL059W,1;1,0
YBR014C,2,0
YPL059W,2,0
YNL250W;YMR224C;YDR369C,2;2;0,1
YAL033W;YBL018C;YBR167C;YBR257W;YHR062C;YIR015W;YNL221C;YGR030C;YNL282W,1;1;1;1;1;1;1;1;1,0
YDR363W-A;YOR257W;YDR159W;YOL072W;YBR111W-A,0;0;0;0;0,1
YBR097W;YLR240W;YBR128C;YPL120W;YLR211C,0;0;0;0;2,1
YLR256W;YAL005C;YNL064C;YCL037C,2;3;1;5,0
YLR256W;YLL024C;YNL064C;YCL037C,2;0;1;5,1
YNL021W;YPR179C;YDR295C,2;1;1,0
YJR050W;YLL036C;YBR188C;YGR129W;YMR213W;YDR416W;YPR101W;YLR117C,0;0;0;0;0;0;0;0,1
YKR022C;YGL120C;YLR424W,0;0;0,1
YCR052W;YIL126W;YMR091C;YBL006C;YHR056C;YFR037C;YGR275W;YKR008W;YML127W;YMR033W;YLR321C;YLR357W;YDR303C;YLR033W;YPR034W;YCR020W-B,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1
YCR052W;YIL126W;YMR091C;YBL006C;YHR056C;YFR037C;YGR056W;YGR275W;YKR008W;YML127W;YMR033W;YLR321C;YDR303C;YLR033W;YPR034W;YCR020W-B,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1
YJL085W;YGL233W;YIL068C;YPR055W;YER008C;YBR102C;YDR166C;YLR166C,0;0;0;0;0;0;0;0,1
YJL140W;YDR404C,1;1,0
YHR148W;YJR002W;YNL075W,0;0;0,1
YIL071C;YJR084W;YDR179C;YMR025W;YOL117W;YDL216C,0;0;0;0;0;0,1
YMR061W;YGL044C;YDR228C;YOR250C,2;2;1;1,0
YMR061W;YGL044C;YDR228C;YOR250C;YOL123W,2;2;1;1;0,1
YDL140C;YOR151C;YIL021W;YJL140W;YBR154C;YPR187W;YOR224C;YOR210W;YGL070C;YDR404C;YOL005C;YHR143W-A,1;1;1;1;1;1;1;1;1;1;1;1,0
YGR140W;YMR094W;YMR168C;YDR328C,2;1;2;1,0
YGL093W;YDR532C,0;0,1
YBR156C;YPL209C;YJR089W;YHR199C-A,0;0;0;0,1
YDL014W;YCL031C;YCL059C;YCR057C;YHR148W;YLL011W;YKL099C;YBL004W;YKR060W;YBR247C;YHR196W;YEL026W;YER082C;YER127W;YJL069C;YIL019W;YJL109C;YJR002W;YGR145W;YGR090W;YGR128C;YNL132W;YNL075W;YDR449C;YPL126W;YDR398W;YMR128W;YMR093W;YML093W;YMR229C;YDR339C;YLR222C;YLR409C;YLR186W;YPR137W;YPR144C;YDR324C;YOL010W;YOR078W;YPL217C;YLR051C;YDL153C;YLR129W;YLR197W;YOR310C;YDL148C;YOR145C,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1
YCL039W;YMR135C;YIL097W;YIL017C;YGL227W;YGR066C;YDR255C,1;1;1;1;1;1;1,0
YCL039W;YMR135C;YIL097W;YIL017C;YGL227W;YDR255C;YLR149C,1;1;1;1;1;1;1,0
YDL126C;YBL058W,6;1,0
YKL206C;YLR199C,1;1,0
YLR021W;YPL144W,1;1,0
YDR150W;YPR083W,0;0,1
YPL167C;YIL139C;YJR006W;YJR043C,1;2;1;1,0
YCL055W;YBR057C;YNL196C;YGL192W;YGL036W,0;0;0;0;0,1
YER072W;YJL012C;YPL019C,3;1;1,0
YER072W;YFL004W;YJL012C,3;1;1,0
YHR167W;YDR138W;YML062C;YNL139C;YNL253W,1;1;1;1;1,0
YAL038W;YLR180W;YDR502C;YLR058C;YER081W;YIL074C;YLR153C,0;0;0;0;0;0;0,1
YKL197C;YNL329C;YOL044W,3;3;0,1
YJL210W;YMR026C;YDR265W,0;0;0,1
YNL214W;YGL153W;YLR191W,0;0;0,1
YHR160C;YDR142C,0;0,1
YDR142C;YGR239C,0;0,1
YEL048C;YGR166W;YKR068C;YBR254C;YDR472W;YML077W;YMR218C;YDR246W;YDR407C;YOR115C,2;2;4;2;2;2;2;2;2;2,0
YKR068C;YBR254C;YDR472W;YML077W;YDR246W;YOR115C,2;1;1;1;1;1,0
YGR264C;YGL245W;YGL105W,1;1;1,0
YIR008C;YNL102W;YKL045W;YBL035C,1;1;1;1,0
YDL102W;YJR006W;YJR043C,1;1;1,0
YNL262W;YPR175W;YBR278W;YDR121W,1;1;1;1,0
YNL216W;YBR275C;YLR453C,0;0;0,1
YAL011W;YLR399C;YBR231C;YGR002C;YNL107W;YFL039C;YJL081C;YDR485C;YML041C;YDR190C;YDR334W;YLR385C;YPL235W;YLR085C,0;0;0;0;0;0;0;0;0;0;0;0;0;0,1
YPR193C,4,0
YCR030C,2,0
YHR079C,2,0
YNL231C,2,0
YDR212W;YIL142W;YJL014W;YDL143W;YDR188W;YJR064W;YJL111W;YJL008C,2;2;2;2;2;2;2;2,0
YBR109C;YOR326W;YGL106W,8;2;4,0
YLR421C;YDR363W-A;YOR362C;YGL011C;YER012W;YGR135W;YML092C;YBL041W;YOR157C;YER094C;YPR103W;YFR050C;YGR253C;YFR052W;YIL075C;YOR117W;YDR394W;YKL145W;YJL001W;YHR027C;YHR200W;YER021W;YMR314W;YOL038W;YDL007W;YFR004W;YOR259C;YGL048C;YDR427W;YPR108W;YOR261C;YDL147W;YDL097C,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,0
YJR104C;YMR038C,1;1,0
YEL020W-A;YHR005C-A,3;3,0
YHR122W;YIL128W;YDR267C,0;0;0,1
YGR181W;YJR135W-A,3;3,0
YPR181C;YPL218W;YDL195W;YIL109C;YLR208W,1;0;2;0;1,1
YKL089W;YBR107C;YBR211C;YDR254W;YFR046C;YJR135C;YGR179C;YPL018W;YLR315W;YDR318W;YPR046W;YDR383C;YLR381W;YDR374W-A;YDL160C-A;YOL086W-A,0;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0,1
YDR092W;YGL087C,1;1,0
YBL002W;YBR009C;YDR225W;YBR010W,2;2;2;2,0
YKL191W;YIL103W,0;0,1
YOR116C;YPR110C;YNL151C;YBR154C;YPR187W;YOR224C;YOR210W;YOR207C;YDL150W;YNL113W;YPR190C;YNR003C;YKL144C;YKR025W;YHR143W-A;YJL011C;YDR045C,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,0
YJL062W;YDR302W,0;0,1
YDR302W;YLL031C,0;0,1
YJR122W;YLL027W;YPR067W,0;0;0,1
YDR477W;YGL115W;YGL208W,1;1;1,0
YDL010W,2,0
YPR080W;YPL048W;YAL003W,2;2;2,0
YKL004W;YDR367W,0;0,1
YMR038C,2,0
YJR104C,2,0
YGL058W;YCR066W,1;1,0
YGL058W;YDL074C,0;0,1
YDL074C,0,1
YGL058W;YGR184C,0;0,1
YER125W;YMR275C,0;0,1
YER125W;YML111W,0;0,1
YGL058W;YLR024C,0;0,1
YGL058W;YMR100W;YLR024C,0;0;0,1
YEL032W;YBL023C;YLR274W;YPR019W;YBR202W;YGL201C,1;1;1;1;1;1,0
YDL126C;YBR170C;YGR048W,6;1;1,0
YMR264W;YMR022W,1;1,0
YEL020W-A;YBR091C;YHR005C-A,0;0;0,1
YPR165W;YMR306W,0;0,1
YMR108W;YCL009C,2;2,0
YAL023C;YDL095W,1;1,0
YDL095W;YOR321W,1;1,0
YAL023C;YDL093W,1;1,0
YJR143C,2,0
YOR321W;YDL093W,1;1,0
YOR254C;YPL094C;YLR378C;YBR171W;YDR086C;YLR292C;YER087C-B,1;1;1;1;1;1;1,0
YOR254C;YPL094C;YBR171W;YLR292C,1;1;1;1,0
YDL126C;YBR170C;YDR049W,6;0;0,1
YBR201W;YML029W;YML013W;YLR207W;YOL013C;YDR057W,0;0;0;2;2;0,1
YIL030C;YML013W,0;0,1
YDR137W;YLR039C,0;0,1
YHL006C;YDR078C;YIL132C;YLR376C,1;1;1;1,0
YFR019W;YNL325C;YFR021W;YNL054W;YLR386W,0;0;0;0;0,1
YDR004W;YDR076W,1;1,0
YFL036W;YMR228W,1;1,0
YHR090C;YHR099W;YEL018W;YFL024C;YJR082C;YGR002C;YNL136W;YNL107W;YFL039C;YJL081C;YDR359C;YOR244W;YPR023C,0;0;0;0;0;0;0;0;0;0;0;0;0,1
YMR296C;YKL212W;YDR062W;YGR038W;YLR350W;YBR058C-A,0;0;0;0;0;0,1
YBR228W;YLR135W,0;0,1
YFR030W;YJR137C,2;2,0
YBR077C;YGR163W;YML121W;YKR007W;YCR075W-A,1;0;0;1;1,1
YDL013W;YER116C,1;1,0
YPL029W;YMR287C,1;1,0
YEL018W;YNL136W;YPR023C,0;0;0,1
YHR090C;YFL024C;YOR244W,0;0;0,1
YLL021W;YER149C;YLR319C;YNL271C;YNL293W;YOL112W,0;0;0;0;0;0,1
YAL010C;YAL048C;YLL006W;YGL219C;YOL009C,0;0;0;0;0,1
YFL018C;YNL071W;YER178W;YGR193C;YBR221C,12;60;24;12;24,0
YOR026W;YGL086W;YJL030W;YGR188C,1;1;1;1,0
YGL207W;YML069W,1;1,0
YLR071C;YOL051W;YBL093C;YNL236W;YER022W;YBR253W;YGR104C;YNR010W;YHR041C;YBR193C;YGL127C;YHR058C;YGL025C;YDR308C;YGL151W;YPR168W;YOL135C;YDL005C;YPR070W;YOR174W;YMR112C,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1
YBL104C;YHL023C;YEL062W;YJR138W;YGL100W;YDR128W;YLR208W;YOL138C,3;1;1;1;3;1;1;1,0
YKL143W;YBR077C;YGR163W;YML121W;YKR007W,0;0;0;0;0,1
YFL009W;YDR054C;YDR328C;YOL133W;YDL132W,1;1;1;1;1,0
YDR390C;YPR180W,1;1,0
YDR054C;YJR090C;YDR328C;YOL133W;YDL132W,1;1;1;1;1,0
YDR054C;YDR328C;YLR368W;YOL133W;YDL132W,1;1;1;1;1,0
YDR054C;YDR328C;YML088W;YOL133W;YDL132W,1;1;1;1;1,0
YDR054C;YJL149W;YDR328C;YOL133W;YDL132W,1;1;1;1;1,0
YNL159C;YNL008C;YMR119W,0;0;0,1
YDR054C;YIL046W;YDR328C;YOL133W;YDL132W,1;1;1;1;1,0
YDR054C;YDR328C;YOL133W;YOR080W;YDL132W,1;1;1;1;1,0
YDR054C;YDR328C;YLR352W;YOL133W;YDL132W,1;1;1;1;1,0
YDR054C;YBR280C;YDR328C;YOL133W;YDL132W,1;1;1;1;1,0
YDR054C;YDR328C;YOL133W;YDL132W;YLR097C,1;1;1;1;1,0
YDL126C;YBR170C;YGR048W;YMR247C;YDR333C;YPL009C,6;1;1;0;0;0,1
YIR024C;YPL099C,0;0,1
YJR121W;Q0085;Q0080;YPL078C;YBL099W;YDR298C;YPL271W;YKL016C;YBR039W;Q0130;YDR322C-A;YML081C-A;YOL077W-A;YDR377W;YDL004W;YPR020W;YLR295C,3;1;1;1;3;1;1;1;1;10;1;1;1;1;1;1;1,0
YAL033W;YBL018C;YBR167C;YBR257W;YHR062C;YDR478W;YNL221C;YGR030C;YNL282W;YLR145W,1;1;1;1;2;1;1;1;1;1,0
YKL025C;YGL094C,2;1,0
YAL019W,2,0
YLR233C;YIL009C-A;YLR318W,1;1;1,0
