complex_string,stoichiometry,unknown_stoichiometry
YJR109C;YOR303W,1;1,0
YPL228W;YGL130W,2;2,0
YIL035C;YOR061W;YOR039W;YGL019W,1;1;1;1,0
YDR074W;YMR261C;YBR126C,0;0;0,1
YDR074W;YML100W;YBR126C,0;0;0,1
YLR433C;YKL190W,1;1,0
YML057W;YKL190W,1;1,0
YCR035C;YHR069C;YGR195W;YGR158C;YGR095C;YNL232W;YDR280W;YOL021C;YOL142W;YOR001W;YDL111C,1;1;1;1;1;1;1;1;1;1;1,0
YCR035C;YHR069C;YGR195W;YGR158C;YGR095C;YNL232W;YDR280W;YOL021C;YOL142W;YDL111C,1;1;1;1;1;1;1;1;1;1,0
YDL029W;YKL013C;YBR234C;YIL062C;YJR065C;YNR035C;YLR370C,1;1;1;1;1;1;1,0
YPR088C;YML105C;YKL122C;YPL243W;YPL210C;YDL092W,1;1;1;1;1;1,0
YBR245C;YMR044W;YLR095C,1;1;1,0
YBR245C;YFR013W,1;1,0
YDR392W;YCL010C;YDR176W;YER164W;YBR081C;YBR198C;YHR099W;YLR055C;YMR223W;YOL148C;YGL112C;YGL066W;YDR448W;YPL047W;YGR252W;YDR145W;YMR236W;YDR167W;YPL254W;YBR111W-A,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1
YCR039C;YCR097W,1;1,0
YCR039C;YMR043W,2;2,0
YCR040W;YMR043W,2;2,0
YJL005W;YNL138W,0;0,1
YJL065C;YGL133W;YDR121W;YOR304W,0;0;0;0,1
YDL014W;YEL026W;YLR197W;YOR310C,2;2;1;1,0
YGL133W;YOR304W,0;0,1
YHR089C;YDL208W;YLR175W;YHR072W-A,1;0;1;1,1
YKL022C;YFR036W;YHR166C;YBL084C;YIR025W;YGL240W;YNL172W;YDR118W;YOR249C;YLR102C;YDL008W;YDR260C;YLR127C,0;0;0;0;0;0;0;0;0;0;0;0;0,1
YKL022C;YFR036W;YHR166C;YGL116W;YBL084C;YIR025W;YGL240W;YNL172W;YDR118W;YOR249C;YLR102C;YDL008W;YDR260C;YLR127C,0;0;0;0;0;0;0;0;0;0;0;0;0;0,1
YKL022C;YFR036W;YHR166C;YBL084C;YIR025W;YGL240W;YGL003C;YNL172W;YDR118W;YOR249C;YLR102C;YDL008W;YDR260C;YLR127C,0;0;0;0;0;0;0;0;0;0;0;0;0;0,1
YKL022C;YFR036W;YHR166C;YBL084C;YIR025W;YGR225W;YGL240W;YNL172W;YDR118W;YOR249C;YLR102C;YDL008W;YDR260C;YLR127C,0;0;0;0;0;0;0;0;0;0;0;0;0;0,1
YBR060C;YHR118C;YNL261W;YML065W;YLL004W;YPR162C,0;0;0;0;0;0,1
YIL035C;YOR039W;YGL019W,2;1;1,0
YOR061W;YOR039W;YGL019W,2;1;1,0
YIL035C;YCL031C;YOR039W;YGL019W;YGR090W,2;0;1;1;0,1
YIL035C;YOR061W;YCL031C;YOR039W;YGL019W;YGR090W,1;1;0;1;1;0,1
YOR061W;YCL031C;YOR039W;YGL019W;YGR090W,2;0;1;1;0,1
YIL035C;YOR061W;YCL031C;YOR039W;YLR223C;YGL019W;YGR090W,1;1;0;1;0;1;0,1
YIL035C;YCL031C;YOR039W;YLR223C;YGL019W;YGR090W,2;0;1;0;1;0,1
YOR061W;YCL031C;YOR039W;YLR223C;YGL019W;YGR090W,2;0;1;0;0;0,1
YMR127C;YDR181C;YOR213C,1;1;1,0
YNR046W;YOL124C,1;1,0
YHR187W;YGR200C;YPL101W;YPL086C;YMR312W;YLR384C,2;2;2;2;2;2,0
YDR292C;YKL154W,1;1,0
YCR020C-A;YEL053C;YPR051W,0;0;0,1
YPR131C;YOL076W,0;0,1
YHR013C;YDL040C;YOR253W,0;0;0,1
YOL110W;YLR246W,0;0,1
YOL067C;YBL103C,1;1,0
YEL044W;YPL129W;YER092W;YNL215W;YFL013C;YGL150C;YNL059C;YFL039C;YJL081C;YDL002C;YDR190C;YOR189W;YLR052W;YOR141C;YPL235W,1;1;1;1;1;1;1;1;1;1;6;1;1;1;6,0
YDL017W;YDR052C,0;0,1
YMR058W;YER145C,1;0,1
YBR207W;YFL041W,0;1,1
YCL008C;YGR206W;YPL065W;YLR119W,1;1;1;1,0
YLR182W;YER111C,1;1,0
YLR182W;YDL056W,0;0,1
YER083C;YGL020C;YDL100C,2;2;2,0
YGL086W;YJL030W,0;0,1
YGL116W;YJL030W,0;0,1
YGL116W;YOR026W;YJL030W;YJL013C,0;0;0;0,1
YMR055C;YJR053W,0;0,1
YAL041W;YOR212W;YJR086W;YJL157C,0;0;0;0,1
YKR038C;YJL184W;YGR262C;YML036W;YKR095W-A,1;1;1;1;1,0
YNL103W;YIR017C;YPL038W,0;0;0,1
YNL103W;YIR017C;YDR253C,0;0;0,1
YJR060W;YNL103W;YIR017C,2;0;0,1
YCR094W;YAL026C,0;0,1
YER166W;YNL323W,0;0,1
YNL323W;YDR093W,0;0,1
YNR048W;YMR162C,0;0,1
YBR164C;YIL048W;YNL297C;YDR141C,0;0;0;0,1
YCR092C;YOL090W,1;1,0
YOL090W;YDR097C,1;1,0
YAL051W;YOR363C,1;1,0
YKL018W;YBR175W;YBR258C;YHR119W;YAR003W;YLR015W;YPL138C;YDR469W,1;1;1;2;1;2;2;1,0
YPR189W;YLR398C;YGL213C,1;1;2,0
YKL052C;YKR037C;YKR083C;YGL061C;YGR113W;YBR233W-A;YDR320C-A;YKL138C-A;YDR201W;YDR016C,1;1;1;1;1;1;1;1;1;1,0
YML051W;YDR009W,2;2,0
YBR020W;YML051W,2;2,0
YPL248C;YML051W,2;2,0
YAL042W;YML067C,0;0,1
YCR047C;YNR046W,1;1,0
YML014W;YNR046W,0;0,1
YKR002W;YER133W;YKL059C;YKL018W;YGR156W;YDR195W;YNL317W;YJR093C;YNL222W;YAL043C;YPR107C;YLR277C;YDR301W;YOR179C;YLR115W,0;1;0;0;0;1;0;0;0;1;0;0;0;1;0,1
YNL189W;YLR347C,1;1,0
YLR234W;YMR190C;YPL024W,0;0;0,1
YBR009C;YBL025W;YMR270C;YBR010W;YLR141W;YOR295W,0;0;0;0;0;0,1
YJL026W;YER070W;YGR180C,1;2;1,0
YJL026W;YER070W;YIL066C;YGR180C,1;1;1;1,0
YDR517W;YDL099W,0;0,1
YER118C;YNL152W;YMR032W;YDL117W,0;0;0;0,1
YER148W;YPL082C,0;0,1
YKL186C;YPL169C,1;1,0
YER148W;YGR246C;YNL039W,1;1;0,1
YPL129W;YGR186W;YGR005C,0;0;0,1
YPL016W;YBR289W;YHL025W;YOR290C;YJL176C;YPL129W;YDR073W;YFL049W;YGR275W;YNR023W;YMR033W;YPR034W,1;1;2;1;2;3;2;2;0;1;1;1,1
YJL071W,0;0,1
YML099C;YMR042W;YDR173C;YMR043W,0;0;0;0,1
YKL061W;YEL005C;YNL086W;YGL079W;YLR408C;YDR357C,0;0;0;0;0;0,1
YDR204W;YOL096C;YOR125C;YML110C;YGR255C;YLR201C,0;0;1;0;0;0,1
YBR107C;YBR211C;YDR254W;YAL034W-A;YJR135C;YGR179C;YPL018W;YLR315W;YDR318W;YPR046W;YDR383C;YLR381W,0;0;0;0;0;0;0;0;0;0;0;0,1
YHR154W;YJL047C;YLR320W;YPR164W;YOL133W,0;0;0;0;0,1
YKL182W;YPL231W,6;6,0
YJL047C;YPR135W;YLR320W;YPR164W;YOL133W,0;0;0;0;0,1
YJL047C;YPR164W;YDR363W;YOL133W,0;0;0;0,1
YJL047C;YNL261W;YPR164W;YOL133W,0;0;0;0,1
YKR054C;YDR488C;YDR424C;YMR299C,2;2;2;0,1
YLR270W,2,0
YLR270W;YOR173W,1;1,0
YAL034W-A;YIR010W;YJR112W;YPL233W,1;1;1;1,0
YBR211C;YGR179C;YPL018W;YDR318W,1;1;1;1,0
YKL108W;YJL090C;YGL113W,0;0;0,1
YKL054C;YJR035W,0;0,1
YKL034W;YOL073C;YOR223W;YDL091C,0;0;0;0,1
YJR052W;YBR114W;YGR003W;YPL046C,0;0;0;0,1
YFR008W;YMR052W;YNL127W;YDR200C;YMR029C;YLR238W,0;0;0;0;0;0,1
YHR172W;YLR212C;YNL126W,1;2;1,0
YPL075W;YNL216W,2;0,1
YPL075W;YNL216W;YNL199C,2;0;2,1
YER133W;YNL233W,1;0,1
YOR178C;YER133W,0;1,1
YER133W;YKL193C,1;1,0
YER133W;YKL193C;YFR003C,1;0;0,1
YER133W;YDR028C,1;0,1
YER133W;YBR050C,1;0,1
YFL018C;YAL044C;YDR019C;YMR189W,1;0;0;0,1
YBR004C;YNL158W,0;0,1
YCL052C;YJR013W,0;0,1
YPL175W;YPL076W;YGR216C;YNL038W;YPL096C-A;YDR437W,0;0;0;0;0;0,1
YHR188C;YLR088W;YLR459W;YDR331W;YDR434W,2;2;2;2;2,0
YPL240C;YLR256W;YAL005C;YLL024C;YMR186W;YNL064C;YCL037C,0;0;0;0;0;0;0,1
YOL108C;YDR123C,0;0,1
YNL015W;YLR043C,0;0,1
YNL015W;YGR209C,0;0,1
YJL034W;YLR207W;YDR057W,0;0;0,1
YCL043C;YHR204W,0;0,1
YGL075C;YPL255W,0;0,1
YPL121C;YHR079C-A,0;0,1
YHR157W;YLR329W,0;0,1
YFL018C;YDR148C;YFR049W;YIL125W,1;0;0;0,1
YML091C,0,1
YNL085W;YGR178C,0;0,1
YGR014W;YPR075C,0;0,1
YAR033W;YGL051W,0;0,1
YOR326W;YCL063W;YEL013W,0;0;0,1
YHR193C;YPL037C,1;1,0
YHR193C;YDR252W,1;1,0
Q0120;YLR382C,0;0,1
YMR080C;YHR077C;YGR072W,0;0;0,1
YPL190C;YNL251C;YLR430W,0;0;0,1
YOR043W;YLL010C,0;0,1
YOR043W;YLR019W,0;0,1
YGR170W;YNL264C,0;0,1
YEL037C;YPL096W,1;1,0
YPL153C;YJL115W,1;1,0
YDL126C;YEL037C;YDL190C,6;0;0,1
YIR021W;Q0115,4;1,0
YGL246C;YOR048C,0;0,1
YNL246W;YLL002W,2;2,0
YCR009C;YDR388W,1;1,0
YDR113C;YGR098C,1;1,0
YPR181C;YHR098C,0;0,1
YDR155C;YCR033W;YKR029C;YBR103W;YIL112W;YGL194C;YOL068C,0;0;0;0;0;0;1,1
YBL007C;YOR181W,0;0,1
YBR228W;YHR154W;YLR135W,0;0;0,1
YPL022W;YML095C;YLR135W,1;1;1,0
YPL022W;YML095C;YAL027W,0;0;0,1
YEL019C;YER038C;YDL105W;YML023C;YDR288W;YLR007W;YOL034W;YLR383W,0;0;0;0;0;0;0;0,1
YMR095C;YMR096W,0;0,1
YNL334C;YMR096W,0;0,1
YNL330C;YGL131C;YMR176W,0;0;0,1
YJL036W;YDL113C,0;0,1
YJL036W;YDR425W,0;0,1
YGR244C;YOR142W,0;0,1
YDL134C;YMR028W;YPL152W,1;0;0,1
YHR195W;YEL013W,2;2,0
