,node,cagiada-dG
0,YKL063C,
1,YDL223C,10.666313457363199
2,YPL036W,
3,YPL050C,17.73336597734002
4,YJR148W,26.49076065797498
5,YHR208W,27.415524770892272
6,YBR035C,14.826796178436789
7,YPR008W,8.239063008164896
8,YKL024C,13.953317184507664
9,YBR286W,28.970294088718838
10,YLR420W,24.901277319621247
11,YKR066C,18.735888084042173
12,YNL117W,34.765454363343785
13,YNL015W,3.678119151645756
14,YOR285W,8.767531172205775
15,YOR239W,14.991689330037428
16,YJL055W,13.954370346258829
17,YJL066C,9.376205177489737
18,YGR027W-A;YGR038C-A;YJR026W;YLR227W-A;YML040W,
19,YGL087C,8.480901823731331
20,YNL134C,24.555324297835245
21,YNR034W-A,4.695165121330541
22,YPL111W,23.06588598223581
23,YIR037W,11.951379507355593
24,YML022W,13.41338136234379
25,YNL104C,31.87831441205924
26,YEL060C,27.005742021095134
27,YOR168W,34.5618077318282
28,YER175C,19.9533722431736
29,YEL071W,32.771156663421564
30,YBR222C,34.48510881732003
31,YOR323C,29.444869391303847
32,YBL037W,28.927953770145535
33,YOL062C,21.300147845220916
34,YJR005W,30.359162139239725
35,YLR352W,30.783234396876406
36,YNL059C,24.994512734026934
37,YBL024W,31.680633759605236
38,YDR356W,12.64305595946607
39,YBR149W,23.774460506849717
40,YDR037W,35.288408539170646
41,YLR421C,5.117465207908247
42,YFL048C,
43,YDR270W,
44,YKL042W,5.2043081979461805
45,YHR019C,34.15812052540077
46,YLL018C,32.88972932501966
47,YKL103C,28.492870470518
48,YLR080W,
49,YLR072W,
50,YNL225C,12.427286940205233
51,YLR250W,10.157405093851219
52,YOL158C,
53,YNL231C,21.98842334112743
54,YOR373W,11.32558878482591
55,YPL124W,4.195008180614851
56,YDL201W,16.736861135480083
57,YDL195W,28.17698919615038
58,YDR091C,31.94914481426736
59,YEL034W,7.221478889804827
60,YDR388W,16.036257646584428
61,YER007C-A,11.75187862625877
62,YEL065W,
63,YER178W,25.32735231941201
64,YER048C,15.317263232573245
65,YGL245W,35.03773909605521
66,YFR009W,26.27991551816422
67,YHR020W,31.6820075624844
68,YJR014W,6.477340998879106
69,YNL247W,34.16469789188228
70,YLR244C,22.265289604368103
71,YOL111C,7.967949750410359
72,YOR187W,31.369658307627258
73,YPL048W,23.788723200381906
74,YPR163C,12.96317016600148
75,YDR406W,
76,YMR058W,
77,YPR154W,7.793284747431251
78,YGR185C,24.762981723181753
79,YDL182W,25.78703146744554
80,YGR054W,30.465430746949874
81,YGR285C,20.331456039387042
82,YHR064C,29.80775697967437
83,YJR047C,7.4661165863345795
84,YIL078W,35.294608579782945
85,YPL160W,33.980221060287924
86,YPR033C,31.611908886951674
87,YCL001W,
88,YDL072C,
89,YDL015C,
90,YDR144C,26.896380511177547
91,YDR245W,16.443787050219083
92,YEL036C,
93,YGL105W,19.58803824223193
94,YFR024C-A,18.035626629114084
95,YJL171C,22.749078081214208
96,YGL200C,
97,YKL065C,
98,YKL165C,
99,YLR386W,25.45048621662142
100,YML115C,22.89232144424518
101,YML067C,
102,YNL121C,27.965810108209325
103,YMR008C,34.02112092229611
104,YOR153W,
105,YOR016C,
106,YGR094W,34.25103624439774
107,YJL080C,26.556925612016386
108,YKL081W,24.300816369281677
109,YBR025C,25.922723562065343
110,YLR109W,12.171588299293436
111,YOL082W,10.074973822262688
112,YGL156W,33.32022152563844
113,YAL042W,
114,YAL007C,
115,YBR187W,
116,YAR002C-A,
117,YGL167C,
118,YBR205W,
119,YHR034C,12.63817708718885
120,YMR038C,12.938191720829884
121,YNL208W,4.3200049883609815
122,YBR096W,
123,YGL125W,33.72825560603928
124,YBR145W,24.52344909993139
125,YJR109C,37.67406681202522
126,YGL140C,
127,YOR222W,15.138732476089784
128,YLR216C,26.22865095476111
129,YMR260C,6.182075765296479
130,YPR080W,41.81364105509278
131,YLR247C,27.60624793385804
132,YDR172W,23.335060121879234
133,YJL001W,13.346179897189495
134,YER094C,12.601780040277776
135,YPR131C,10.785274703779649
136,YHL034C,11.387206666561045
137,YJL063C,11.669060143071485
138,YDR237W,13.38961004542806
139,YJR145C;YHR203C,
140,YJL096W,6.240887382069158
141,YKL170W,7.754044665832827
142,YKL138C,5.131565174356901
143,YKR085C,6.165795419605211
144,YKR006C,7.111570678025272
145,YML009C,3.257853298979385
146,YLR196W,25.932048936707464
147,YMR024W,16.11835747754065
148,YML025C,12.433507731088117
149,YNL005C,13.67215288602073
150,YMR286W,4.384450088299116
151,YNL252C,10.592146235884723
152,YNL177C,11.502437653380655
153,YNR022C,5.007384168882288
154,YNL284C,12.512180732923769
155,YOR017W,23.370261408021882
156,YOL041C,15.491680181645695
157,YPL173W,12.901843071017716
158,YOR150W,8.372874081520715
159,YER165W,23.820816697528407
160,YGL049C,9.724508314549864
161,YGR162W,10.552993098353332
162,YGL094C,27.600998366996027
163,YJL186W,
164,YJL002C,
165,YMR193W,11.173877844208423
166,YKL025C,19.91637456168025
167,YGR076C,7.280704372454507
168,YGL068W,5.531165494251135
169,YGR220C,12.866261582968132
170,YMR098C,17.338153144949157
171,YNL185C,7.408649766255104
172,YBR082C,11.553912054794425
173,YDR214W,18.16517871657859
174,YCR093W,32.2154546107803
175,YER168C,28.09607012464933
176,YER068W,15.031399664702317
177,YMR235C,23.3194992083589
178,YKL010C,25.17725707399205
179,YKR059W,25.908652141405106
180,YJL138C,25.908652670172206
181,YDL084W,24.678690043923165
182,YDL140C,32.38274472416482
183,YOR046C,26.95485537538318
184,YKL190W,10.599277590842778
185,YBR022W,10.266432750600744
186,YBR017C,29.18124818950048
187,YBR080C,30.891912746672862
188,YBR214W,19.993512122126056
189,YBR143C,19.343072284653676
190,YDL160C,27.584836633932184
191,YDL022W,25.21804832655654
192,YDL192W,13.53608609876182
193,YDR408C,15.451197235186974
194,YDR341C,32.7042575473729
195,YER086W,32.214875621656
196,YGR173W,20.415110342151124
197,YFL037W,24.517456552376416
198,YHL011C,22.007526434157022
199,YGR175C,30.55386559205385
200,YIL094C,25.096025212299153
201,YKL196C,9.65807288991123
202,YJR072C,16.16481189410695
203,YKR080W,19.301819397736374
204,YLR113W,23.969200522997095
205,YLL026W,34.889346754687274
206,YLR270W,19.259209885723024
207,YLR180W,28.55780626730761
208,YMR186W,31.818392781052605
209,YNL129W,15.999116572203945
210,YNL016W,19.212230317388787
211,YPL010W,8.600108367136993
212,YNL307C,22.107193205425332
213,YPL240C,32.298642514532936
214,YPL218W,11.917655738030984
215,YOL142W,13.350228650482107
216,YHR103W,9.673133976347376
217,YER073W,34.976766347240414
218,YJR024C,15.453278023994132
219,YLR089C,25.42702197230249
220,YKL120W,
221,YMR108W,37.02951705359578
222,YOL096C,16.215631878624183
223,YOR136W,25.50831956692127
224,YKL126W,27.416825361041216
225,YNL064C,18.995329519375375
226,YPL225W,7.113463730703001
227,YDL190C,30.609579325125388
228,YEL022W,28.951209563285754
229,YDR129C,31.369685263377473
230,YGR218W,28.56569854451364
231,YIL156W-B,2.027548498987266
232,YLR268W,
233,YJR077C,17.009098502964356
234,YMR145C,29.15313472052715
235,YOR075W,
236,YPL063W,17.513930440714205
237,YBR122C,4.725806108427141
238,YBL038W,9.456649457163056
239,YDR041W,6.935738935628133
240,YCR071C,5.666741576182481
241,YDR116C,13.58860595626512
242,YDR322W,17.325428243596377
243,YDR296W,10.525753614351334
244,YEL050C,15.627465349331217
245,YDR462W,3.783513587229872
246,YLR312W-A,9.738768978627665
247,YNL047C,18.194169519672386
248,YNR039C,
249,YFR033C,5.560738275102204
250,Q0250,
251,YLR298C,4.931324426539788
252,YGL191W,
253,YGL187C,7.6101776539478685
254,YHR001W-A,
255,YGR132C,
256,YIL111W,
257,YHR051W,6.340892464642439
258,YKR016W,14.730170188290186
259,YJL166W,
260,YLR356W,
261,YLR038C,3.837936027730943
262,YNL052W,
263,YMR089C,
264,YNR018W,
265,YNL055C,14.281172016361372
266,YPR191W,22.108536472013082
267,YOR065W,
268,YDR529C,6.258950344501752
269,YCL057C-A,
270,YEL024W,10.236795143733277
271,YDL067C,
272,YGR012W,24.335405914627536
273,YGR231C,
274,YHR003C,20.664244925453797
275,YJL207C,36.718060840616374
276,YMR203W,14.347191545944412
277,YER017C,
278,YBL030C,
279,YPL078C,
280,YKL016C,5.994635746414972
281,Q0045,
282,YOR271C,
283,YBR039W,11.978626848208323
284,Q0085,
285,YDL004W,7.631079626336146
286,YDR298C,10.659894132560611
287,YDL181W,1.9450227031892091
288,YDR322C-A,2.663157075069549
289,YFR011C,3.8682217313929463
290,YJR121W,37.595828054989944
291,YKR049C,5.9348692165968195
292,YLR295C,2.322702330612549
293,YML081C-A,
294,YMR003W,
295,YNL131W,
296,YOL077W-A,2.280031551197069
297,YPR020W,
298,YPL271W,2.771224445368855
299,YDL174C,30.033671734354783
300,YHR079C,
301,YIL077C,
302,YLR090W,17.714846210210798
303,YAL010C,16.121018577706753
304,YER154W,
305,YKL027W,23.30601420407973
306,YDR430C,32.72199356016603
307,YHR147C,10.446613016179564
308,YGR207C,17.53557486484164
309,YJR080C,13.02730937151304
310,YJR045C,34.60425882207134
311,YLR355C,20.892010888694163
312,YMR083W,24.804682672825304
313,YOR125C,11.933074007797066
314,YMR241W,15.409683798723027
315,YLR259C,35.17605910034208
316,YCL044C,10.95590803079791
317,YGL153W,6.728696990084209
318,YKL148C,33.06028445340258
319,YIL125W,28.56424799393316
320,YLL041C,16.773026287440075
321,YPL132W,
322,YDR075W,21.328953183163474
323,YNL201C,24.546117644865603
324,YOR390W;YPL279C,
325,YBL046W,9.450436079116345
326,YBL047C,21.772280756807046
327,YCR030C,14.453237968443513
328,YHR047C,32.03021930494551
329,YBL051C,12.76272882144084
330,YLR064W,
331,YBL055C,25.7296620662986
332,YMR198W,13.094169093076431
333,YDR207C,7.246906110745695
334,YNL007C,18.144559630261465
335,YPR018W,12.376209613798462
336,YNL091W,15.08221819567392
337,YBL056W,23.12592533006902
338,YGL210W,12.81859958915198
339,YDR071C,10.877572867851297
340,YGR205W,19.179649535900722
341,YBL057C,9.57596498885873
342,YDL126C,36.14732048824916
343,YBR273C,11.95384996501928
344,YBR179C,23.375884431732338
345,YDL091C,15.785323740774814
346,YBR280C,25.363832206007704
347,YDR049W,24.1644313404406
348,YDL132W,27.803714159639235
349,YDR328C,10.370534019753974
350,YDR057W,18.47886721057536
351,YER065C,30.334987602798144
352,YDR330W,18.55588587132584
353,YFL044C,15.972175135979098
354,YER100W,
355,YGR048W,11.040025409050509
356,YIL030C,
357,YGR119C,9.077246110256953
358,YJR092W,10.594125647414987
359,YJR090C,21.82777569090842
360,YLL039C;YLR167W,
361,YKL100C,
362,YLR207W,
363,YLR088W,
364,YML029W,
365,YML013W,22.29716416247167
366,YMR067C,14.87103055221269
367,YML088W,24.579105454950177
368,YMR119W,
369,YNL141W,24.038951618662065
370,YNL085W,26.15025579378834
371,YOR375C,31.42174051294451
372,YOL013C,
373,YOR157C,13.256737410103398
374,YBL058W,12.852818505863617
375,YBR170C,29.04458776000822
376,YBR056W,28.71245855709097
377,YHR132W-A,3.8904589992763077
378,YOR048C,29.031764189848438
379,YBL059C-A,3.3628267004392933
380,YBL063W,26.727681496878322
381,YBL036C,17.31032024006338
382,YDR036C,25.824054798224523
383,YER136W,26.168765375070784
384,YDR304C,14.660826176982859
385,YBL060W,18.579167705442302
386,YBL064C,15.20666260839374
387,YPL059W,8.732873731046524
388,YJR016C,34.61477095670792
389,YOR108W,32.0946640648682
390,YER080W,30.163455112268554
391,YER170W,14.08224300785263
392,YML107C,13.912766652736009
393,YAL044W-A,6.2698442552233375
394,YGR244C,29.644074011267957
395,YAL046C,5.316026851668306
396,YDR148C,21.55319621408881
397,YGR193C,15.817003592311979
398,YHL021C,22.570447945674122
399,YKL085W,20.500932002735205
400,YLR304C,35.966297349486034
401,YNL071W,25.085449091855036
402,YOR232W,7.622790701439853
403,YPR004C,22.508222295177326
404,YBL068W,22.60177821483845
405,YOL061W,23.0963562770206
406,YBL067C,17.312415778617986
407,YBL071W-A,4.489822563174
408,YAL020C,20.692621050278273
409,YGR200C,31.019981163037283
410,YER055C,16.998663149815116
411,YKL110C,15.623784810050825
412,YIL103W,25.041023078124468
413,YLR384C,32.06269436744296
414,YKL191W,23.711695919240277
415,YPL086C,30.592746979577605
416,YBL072C,9.034155814787844
417,YBR084W,34.95999959418667
418,YBL072C;YER102W,
419,YCR031C,7.730953823154664
420,YBR189W,9.72356051417477
421,YDL040C,29.097839905248886
422,YCR047C,13.722219407150023
423,YDR025W;YBR048W,
424,YDL060W,20.904525668800026
425,YDR117C,25.827352599406023
426,YDR064W,7.150506304830362
427,YER074W;YIL069C,
428,YDR450W;YML026C,
429,YGR027C,3.7224100147560506
430,YGL123W,13.334257724421335
431,YGR214W,13.242014190857647
432,YGR118W;YPR132W,
433,YHL015W,5.1656572351642795
434,YHL013C,12.30541134646773
435,YJL136C,4.535428027284161
436,YHR013C,10.790264864808774
437,YJR123W,10.171559733904274
438,YJL190C;YLR367W,
439,YKL156W;YHR021C,
440,YLR048W,12.851853725879145
441,YKR057W,4.44038540538509
442,YLR287C-A;YOR182C,
443,YLR150W,6.000692217888757
444,YLR419W,26.95342739016987
445,YLR388W,2.7315940254461664
446,YML024W;YDR447C,
447,YLR441C,10.4860261183886
448,YMR116C,20.251247058056126
