source,target,label,evidence_count,source_files,sources,methods
AT3G62800,AT3G62800,in vitro,1,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx,PUBMED:21798944,Two-hybrid
AT3G62800,AT5G20320,in vitro,3,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx,PUBMED:20106953; PUBMED:21270136; PUBMED:24498147,FRET; Reconstituted Complex
AT3G62870,AT4G26110,in vitro,2,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx; Table S1.xlsx,Altmann et al.; PUBMED:32612234,Two-hybrid; Y2H
AT3G62930,AT5G06950,in vitro,1,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx,PUBMED:22207719,Two-hybrid
AT3G62950,AT5G06950,in vitro,1,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx,PUBMED:22207719,Two-hybrid
AT3G62960,AT4G16360,in vitro,1,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx,PUBMED:32218501,Two-hybrid
AT3G62960,AT5G06950,in vitro,1,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx,PUBMED:22207719,Two-hybrid
AT3G62960,AT5G21170,in vitro,1,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx,PUBMED:32218501,Two-hybrid
AT3G62980,AT3G62980,in vitro,2,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx,PUBMED:27618443,FRET; Two-hybrid
AT3G62980,AT4G14550,in vitro,1,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx,PUBMED:15295098,Reconstituted Complex
AT3G62980,AT4G14560,in vitro,2,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx,PUBMED:15546359; PUBMED:25888615,Reconstituted Complex; Two-hybrid
AT3G62980,AT4G29700,in vitro,2,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx; Table S1.xlsx,Altmann et al.; PUBMED:32612234,Two-hybrid; Y2H
AT3G62980,AT4G34210,in vitro,3,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx,PUBMED:12711337; PUBMED:12795696,Two-hybrid
AT3G62980,AT4G36800,in vitro,1,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx,PUBMED:12682009,Reconstituted Complex
AT3G62980,AT5G25890,in vitro,3,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx,PUBMED:21734647; PUBMED:22466420; PUBMED:26236497,Reconstituted Complex; Two-hybrid
AT3G62980,AT5G41790,in vitro,1,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx,PUBMED:12445118,Two-hybrid
AT3G62980,AT5G42190,in vitro,5,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx,PUBMED:10398681; PUBMED:12445118; PUBMED:12711337; PUBMED:12795696; PUBMED:32612234,Two-hybrid
AT3G62980,AT5G49980,in vitro,1,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx,PUBMED:24313839,Reconstituted Complex
AT3G63010,AT4G08920,in vitro,1,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx,PUBMED:34046684,PCA
AT3G63010,AT4G16447,in vitro,1,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx,PUBMED:32612234,Two-hybrid
AT3G63010,AT5G14070,in vitro,1,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx,PUBMED:32612234,Two-hybrid
AT3G63010,AT5G14170,in vitro,1,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx,PUBMED:32612234,Two-hybrid
AT3G63010,AT5G17490,in vitro,1,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx,PUBMED:32612234,Two-hybrid
AT3G63030,AT4G00390,in vitro,2,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx; Table S1.xlsx,PUBMED:28650476; Trigg et al.,Two-hybrid; y2H
AT3G63030,AT4G35610,in vitro,2,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx; Table S1.xlsx,PUBMED:28650476; Trigg et al.,Two-hybrid; y2H
AT3G63030,AT4G35700,in vitro,2,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx; Table S1.xlsx,PUBMED:28650476; Trigg et al.,Two-hybrid; y2H
AT3G63030,AT5G28040,in vitro,2,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx; Table S1.xlsx,PUBMED:28650476; Trigg et al.,Two-hybrid; y2H
AT3G63060,AT4G34210,in vitro,2,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx,PUBMED:21831845,PCA; Two-hybrid
AT3G63060,AT5G42190,in vitro,2,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx,PUBMED:21831845,PCA; Two-hybrid
AT3G63080,AT4G11490,in vitro,2,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx; Table S1.xlsx,Jones et al.; PUBMED:24833385,PCA; Y2H
AT3G63080,AT4G12250,in vitro,2,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx; Table S1.xlsx,Jones et al.; PUBMED:24833385,PCA; Y2H
AT3G63130,AT5G11390,in vitro,1,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx,PUBMED:18591351,Two-hybrid
AT3G63180,AT5G27030,in vitro,1,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx,PUBMED:22065421,Two-hybrid
AT3G63200,AT4G19030,in vitro,1,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx,PUBMED:21798944,Two-hybrid
AT3G63200,AT4G26450,in vitro,1,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx,PUBMED:21798944,Two-hybrid
AT3G63200,AT4G26455,in vitro,1,Table S1.xlsx,Arabidopsis consortium,Y2H
AT3G63210,AT5G11980,in vitro,2,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx; Table S1.xlsx,Arabidopsis consortium; PUBMED:21798944,Two-hybrid; Y2H
AT3G63210,AT5G14760,in vitro,2,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx; Table S1.xlsx,Arabidopsis consortium; PUBMED:21798944,Two-hybrid; Y2H
AT3G63260,AT4G32000,in vitro,2,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx; Table S1.xlsx,Jones et al.; PUBMED:24833385,PCA; Y2H
AT3G63280,AT3G63280,in vitro,1,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx,PUBMED:21605211,Two-hybrid
AT3G63300,AT5G13300,in vitro,2,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx,PUBMED:19363154,FRET; Two-hybrid
AT3G63310,AT3G66654,in vitro,2,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx; Table S1.xlsx,Jones et al.; PUBMED:24833385,PCA; Y2H
AT3G63310,AT4G01410,in vitro,2,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx; Table S1.xlsx,Jones et al.; PUBMED:24833385,PCA; Y2H
AT3G63310,AT4G25360,in vitro,2,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx; Table S1.xlsx,Jones et al.; PUBMED:24833385,PCA; Y2H
AT3G63310,AT4G30850,in vitro,2,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx; Table S1.xlsx,Jones et al.; PUBMED:24833385,PCA; Y2H
AT3G63310,AT4G37680,in vitro,2,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx; Table S1.xlsx,Jones et al.; PUBMED:24833385,PCA; Y2H
AT3G63310,AT5G03345,in vitro,2,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx; Table S1.xlsx,Jones et al.; PUBMED:24833385,PCA; Y2H
AT3G63310,AT5G03545,in vitro,2,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx; Table S1.xlsx,Jones et al.; PUBMED:24833385,PCA; Y2H
AT3G63310,AT5G06320,in vitro,2,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx; Table S1.xlsx,Jones et al.; PUBMED:24833385,PCA; Y2H
AT3G63310,AT5G49540,in vitro,2,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx; Table S1.xlsx,Jones et al.; PUBMED:24833385,PCA; Y2H
AT3G63310,AT5G52420,in vitro,2,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx; Table S1.xlsx,Jones et al.; PUBMED:24833385,PCA; Y2H
AT3G63380,AT3G66654,in vitro,2,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx; Table S1.xlsx,Jones et al.; PUBMED:24833385,PCA; Y2H
AT3G63380,AT4G14455,in vitro,2,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx; Table S1.xlsx,Jones et al.; PUBMED:24833385,PCA; Y2H
AT3G63380,AT4G20790,in vitro,2,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx; Table S1.xlsx,Jones et al.; PUBMED:24833385,PCA; Y2H
AT3G63380,AT4G25360,in vitro,2,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx; Table S1.xlsx,Jones et al.; PUBMED:24833385,PCA; Y2H
AT3G63380,AT4G30850,in vitro,2,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx; Table S1.xlsx,Jones et al.; PUBMED:24833385,PCA; Y2H
