gene,Lyu_lysate_cell_MS2_Tm,Lyu_lysate_cell_MS2_R2,Lyu_lysate_cell_MS2_RSE,Lyu_intact_cell_MS2_Tm,Lyu_intact_cell_MS2_R2,Lyu_intact_cell_MS2_RSE,Lyu_intact_cell_MS3_Tm,Lyu_intact_cell_MS3_R2,Lyu_intact_cell_MS3_RSE
AT1G07890,43.57458944,0.998529507,0.01616755,46.04949331,0.99857291,0.018686775,45.39308909,0.999307026,0.013324801
AT1G07940,48.20443811,0.999361204,0.009837664,49.26589145,0.996739937,0.028412868,48.48262629,0.995858986,0.033030882
AT1G08130,50.09067095,0.996133726,0.025989853,53.69779495,0.989631454,0.048690455,,,
AT1G08200,44.31411377,0.999501877,0.010767612,49.66579172,0.992364928,0.045092112,49.91106125,0.991312281,0.049596904
AT1G08360,40.28805342,0.994410029,0.026356167,55.12099476,0.962139517,0.081011556,54.80570224,0.959081719,0.08548963
AT1G08480,35.16388842,0.986079704,0.041086184,55.53744937,0.990315863,0.045335827,55.62321929,0.978198097,0.073738228
AT1G08490,59.16982413,0.994332901,0.025503858,61.62611722,0.997127787,0.018895483,63.38542432,0.925910781,0.114842528
AT1G08780,56.87424914,0.993006856,0.030183824,54.14793312,0.938232255,0.135010747,,,
AT1G08820,55.00629732,0.993458753,0.031045545,54.57089497,0.973103963,0.073186856,,,
AT1G08830,62.92344416,0.969350258,0.055309248,60.43416736,0.966823987,0.067522406,61.66492178,0.955732856,0.091300513
AT1G09070,56.19601582,0.997514298,0.020019377,47.66176049,0.995540132,0.033024937,46.99899044,0.993143666,0.040857935
AT1G09210,,,,44.24116925,0.994139228,0.034785714,45.29874708,0.965538384,0.082659196
AT1G09270,45.14976454,0.998350298,0.017729731,48.03171907,0.990546161,0.046067757,,,
AT1G09430,35.99040482,0.997604882,0.018468713,45.06156258,0.996106129,0.028767665,43.44958676,0.995870677,0.033109555
AT1G09620,41.92082117,0.998534097,0.018084232,47.58047415,0.998916657,0.016300685,47.19636614,0.998807907,0.017565631
AT1G09630,42.24665265,0.99803157,0.017986914,51.08180634,0.989582984,0.045302739,52.5666688,0.975199988,0.069104997
AT1G09640,42.41457658,0.992050969,0.033485346,47.1111944,0.982245962,0.065704986,46.99369069,0.985665242,0.063737124
AT1G09760,39.60628076,0.996588611,0.023956892,51.5928277,0.998555106,0.017714556,50.74247538,0.996701508,0.027344435
AT1G09780,48.38685663,0.999118528,0.014204304,50.74453866,0.99625499,0.030577301,50.43205236,0.997798312,0.024206007
AT1G09830,52.0411592,0.998282392,0.019379886,52.84755067,0.997422967,0.02572086,52.70775698,0.998549956,0.019469365
AT1G09840,,,,49.8151245,0.985583619,0.059899028,,,
AT1G10390,59.52471554,0.981050766,0.042108387,52.93069838,0.9952555,0.031032616,52.35304198,0.983054042,0.062124141
AT1G10522,55.76427297,0.942250339,0.118620302,55.72978623,0.891109106,0.117488034,,,
AT1G10670,38.32697284,0.999118789,0.011794742,44.82195286,0.997545176,0.024969189,44.64701655,0.99598122,0.033459761
AT1G10700,,,,53.9582413,0.995301106,0.030437219,53.11438264,0.987319926,0.051590944
AT1G10760,38.4369647,0.998767109,0.014170364,45.7130576,0.985852068,0.063604438,45.41681964,0.989736472,0.055740792
AT1G10840,50.91600993,0.996745122,0.024007082,50.47401508,0.996506374,0.026635328,52.70617666,0.97432847,0.072222188
AT1G10950,40.40388281,0.99867005,0.015601339,47.76016944,0.990542161,0.046863891,48.2408079,0.997799074,0.024600342
AT1G11260,,,,58.86067693,0.967667485,0.072918996,,,
AT1G11430,55.37458754,0.986059902,0.041342867,53.59932522,0.980533625,0.051236552,,,
AT1G11650,36.38439801,0.997612714,0.018432862,44.40137291,0.992698703,0.041616804,43.01534085,0.996393093,0.030656906
AT1G11660,50.28340438,0.998134865,0.019051678,51.90888044,0.986358093,0.053473734,,,
AT1G11750,37.76532238,0.990649298,0.036701943,53.02943847,0.985803905,0.058409013,51.45331839,0.979162715,0.070860903
AT1G12000,36.86252938,0.996678601,0.020789068,51.45623994,0.995082937,0.03350391,51.2675161,0.993077149,0.040220843
AT1G12270,61.72309826,0.992695929,0.026672223,46.43603561,0.994780567,0.034168854,46.36812609,0.980875556,0.066505142
AT1G12310,,,,55.58629046,0.995110967,0.026012305,55.82493388,0.982176,0.051932874
AT1G12410,45.0650922,0.999347034,0.010456094,55.43320677,0.992162863,0.042210061,55.41845743,0.990233277,0.048833243
AT1G12840,55.70557099,0.993770183,0.0349387,57.15962724,0.995821876,0.029412005,57.47716023,0.994443488,0.033990538
AT1G13020,,,,61.13688162,0.945290172,0.079907806,61.86953651,0.856696484,0.162054189
AT1G13060,60.65014479,0.983091938,0.052693527,49.90254719,0.994086335,0.037657363,49.8419309,0.994848954,0.03509026
AT1G13280,64.32746666,0.979167749,0.039663795,61.32136462,0.966373242,0.055428634,63.14916776,0.86786871,0.171246777
AT1G13320,41.84778783,0.998384344,0.016926531,48.12239827,0.978108798,0.075406922,46.2469635,0.996959905,0.027411713
AT1G13370,47.85206127,0.986294129,0.046766212,,,,,,
AT1G13440,34.24596782,0.994132368,0.026710553,54.85433245,0.996477517,0.027202779,54.17298774,0.983055887,0.057055457
AT1G13930,68.68003421,0.960037058,0.04450934,65.30676126,0.964415581,0.053262023,64.97035156,0.953525895,0.104184897
AT1G13950,,,,45.74362427,0.961193021,0.076413595,,,
AT1G14000,48.23615287,0.998056288,0.021154896,52.37660559,0.998160595,0.02114983,52.13720351,0.990347643,0.051378667
