gene,Lyu_lysate_cell_MS2_Tm,Lyu_lysate_cell_MS2_R2,Lyu_lysate_cell_MS2_RSE,Lyu_intact_cell_MS2_Tm,Lyu_intact_cell_MS2_R2,Lyu_intact_cell_MS2_RSE,Lyu_intact_cell_MS3_Tm,Lyu_intact_cell_MS3_R2,Lyu_intact_cell_MS3_RSE
AT1G12000,36.86252938,0.996678601,0.020789068,51.45623994,0.995082937,0.03350391,51.2675161,0.993077149,0.040220843
AT1G12270,61.72309826,0.992695929,0.026672223,46.43603561,0.994780567,0.034168854,46.36812609,0.980875556,0.066505142
AT1G12310,,,,55.58629046,0.995110967,0.026012305,55.82493388,0.982176,0.051932874
AT1G12410,45.0650922,0.999347034,0.010456094,55.43320677,0.992162863,0.042210061,55.41845743,0.990233277,0.048833243
AT1G12840,55.70557099,0.993770183,0.0349387,57.15962724,0.995821876,0.029412005,57.47716023,0.994443488,0.033990538
AT1G13020,,,,61.13688162,0.945290172,0.079907806,61.86953651,0.856696484,0.162054189
AT1G13320,41.84778783,0.998384344,0.016926531,48.12239827,0.978108798,0.075406922,46.2469635,0.996959905,0.027411713
AT1G13370,47.85206127,0.986294129,0.046766212,,,,,,
AT1G13440,34.24596782,0.994132368,0.026710553,54.85433245,0.996477517,0.027202779,54.17298774,0.983055887,0.057055457
AT1G13930,68.68003421,0.960037058,0.04450934,65.30676126,0.964415581,0.053262023,64.97035156,0.953525895,0.104184897
AT1G14000,48.23615287,0.998056288,0.021154896,52.37660559,0.998160595,0.02114983,52.13720351,0.990347643,0.051378667
AT1G14030,38.32960608,0.998456401,0.01728369,47.63934467,0.994556036,0.036991046,47.62799136,0.992942821,0.043624488
AT1G14320,34.85666887,0.986526218,0.039039315,51.99153394,0.998569315,0.016877704,50.84902953,0.996537022,0.027316609
AT1G14410,62.77124414,0.977832546,0.057065016,62.07917571,0.988538695,0.039108269,62.84806506,0.949186428,0.095263012
AT1G14830,,,,52.13245331,0.879627184,0.159273266,,,
AT1G14900,65.65347638,0.947734923,0.058668032,,,,,,
AT1G15130,43.82994849,0.998951727,0.014918269,45.57312958,0.99357242,0.039072669,45.24953042,0.994767283,0.037918838
AT1G15690,44.86257053,0.99664259,0.02663463,63.82039857,0.973669224,0.055263131,64.74705294,0.939009071,0.107956252
