experiment,source_file,source_row,source_protein,source_gene_name,mapping_accession,protein_accession,protein_gene_name_match,gene,mapping_status,selection_rank,selected_for_wide_table,Tm,R2,RSE
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2165,Q93Z84,Q93Z84,Q93Z84,Q93Z84,True,,unmapped_to_nodes,,False,55.07745101,0.970479616,0.090279593
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2167,Q93ZC2,Q93ZC2,Q93ZC2,Q93ZC2,True,,unmapped_to_nodes,,False,44.79040612,0.987080349,0.055005597
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2169,Q93ZC9,Q93ZC9,Q93ZC9,Q93ZC9,True,,unmapped_to_nodes,,False,48.47549646,0.988372206,0.051788156
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2170,Q93ZE3,Q93ZE3,Q93ZE3,Q93ZE3,True,,unmapped_to_nodes,,False,49.60216465,0.987322015,0.051569887
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2171,Q93ZE5,Q93ZE5,Q93ZE5,Q93ZE5,True,,unmapped_to_nodes,,False,59.90008029,0.986457534,0.046009593
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2175,Q93ZM6,Q93ZM6,Q93ZM6,Q93ZM6,True,,unmapped_to_nodes,,False,57.27114115,0.996733194,0.02519689
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2178,Q93ZN4,Q93ZN4,Q93ZN4,Q93ZN4,True,,unmapped_to_nodes,,False,43.26597338,0.988100484,0.052097071
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2180,Q93ZR3,Q93ZR3,Q93ZR3,Q93ZR3,True,,unmapped_to_nodes,,False,43.72033222,0.99669168,0.027449731
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2182,Q93ZV8,Q93ZV8,Q93ZV8,Q93ZV8,True,,unmapped_to_nodes,,False,51.77719949,0.996841184,0.027434234
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2185,Q940I2,Q940I2,Q940I2,Q940I2,True,,unmapped_to_nodes,,False,48.97140712,0.996349164,0.028678901
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2187,Q940M2,Q940M2,Q940M2,Q940M2,True,,unmapped_to_nodes,,False,55.02180585,0.994763271,0.034166684
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2188,Q940M4,Q940M4,Q940M4,Q940M4,True,,unmapped_to_nodes,,False,56.83810162,0.96281951,0.090028028
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2190,Q940Q8,Q940Q8,Q940Q8,Q940Q8,True,,unmapped_to_nodes,,False,46.12277096,0.982721724,0.060956707
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2191,Q940S0,Q940S0,Q940S0,Q940S0,True,,unmapped_to_nodes,,False,46.90644811,0.996903498,0.026219721
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2192,Q940S9,Q940S9,Q940S9,Q940S9,True,,unmapped_to_nodes,,False,48.45543086,0.994026342,0.034642204
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2193,Q940V1,Q940V1,Q940V1,Q940V1,True,,unmapped_to_nodes,,False,49.3229354,0.996886021,0.026488175
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2194,Q940Y9,Q940Y9,Q940Y9,Q940Y9,True,,unmapped_to_nodes,,False,56.40682369,0.983021252,0.059958218
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2195,Q940Z5,Q940Z5,Q940Z5,Q940Z5,True,,unmapped_to_nodes,,False,56.59052212,0.987723195,0.054227876
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2197,Q941B1,Q941B1,Q941B1,Q941B1,True,,unmapped_to_nodes,,False,52.62144823,0.983434911,0.063307594
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2198,Q941B2,Q941B2,Q941B2,Q941B2,True,,unmapped_to_nodes,,False,54.52474464,0.995602995,0.031430135
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2200,Q944A2,Q944A2,Q944A2,Q944A2,True,,unmapped_to_nodes,,False,49.13893536,0.996252745,0.027792288
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2202,Q944G5,Q944G5,Q944G5,Q944G5,True,,unmapped_to_nodes,,False,51.73842057,0.99417861,0.03471804
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2205,Q944J2,Q944J2,Q944J2,Q944J2,True,,unmapped_to_nodes,,False,47.6034468,0.998116816,0.021905127
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2207,Q944L7,Q944L7,Q944L7,Q944L7,True,,unmapped_to_nodes,,False,53.96326051,0.989352477,0.049511354
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2208,Q944L8,Q944L8,Q944L8,Q944L8,True,,unmapped_to_nodes,,False,54.86722246,0.998422345,0.018621029
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2210,Q944Q6,Q944Q6,Q944Q6,Q944Q6,True,,unmapped_to_nodes,,False,51.7941314,0.994000051,0.035283211
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2211,Q944S8,Q944S8,Q944S8,Q944S8,True,,unmapped_to_nodes,,False,61.02215717,0.961830368,0.073743312
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2213,Q945K9,Q945K9,Q945K9,Q945K9,True,,unmapped_to_nodes,,False,48.1985725,0.978756644,0.071732892
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2216,Q945Q5,Q945Q5,Q945Q5,Q945Q5,True,,unmapped_to_nodes,,False,54.71471024,0.991454995,0.041950643
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2217,Q948K8,Q948K8,Q948K8,Q948K8,True,,unmapped_to_nodes,,False,51.16970601,0.992798881,0.037778733
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2218,Q949M9,Q949M9,Q949M9,Q949M9,True,,unmapped_to_nodes,,False,45.60682246,0.998139311,0.019566902
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2220,Q949P3,Q949P3,Q949P3,Q949P3,True,,unmapped_to_nodes,,False,48.28747303,0.999822909,0.006448729
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2221,Q949Q0,Q949Q0,Q949Q0,Q949Q0,True,,unmapped_to_nodes,,False,48.37114381,0.990291877,0.045153574
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2222,Q949Q1,Q949Q1,Q949Q1,Q949Q1,True,,unmapped_to_nodes,,False,52.79860016,0.989167025,0.047774144
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2223,Q949Q7,Q949Q7,Q949Q7,Q949Q7,True,,unmapped_to_nodes,,False,55.70518943,0.983383014,0.04832232
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2224,Q949R9,Q949R9,Q949R9,Q949R9,True,,unmapped_to_nodes,,False,52.70947483,0.993339441,0.038428767
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2225,Q949S6,Q949S6,Q949S6,Q949S6,True,,unmapped_to_nodes,,False,56.19092277,0.982457427,0.067031899
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2229,Q949Y3,Q949Y3,Q949Y3,Q949Y3,True,,unmapped_to_nodes,,False,53.22369302,0.995532242,0.028334151
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2230,Q949Y5,Q949Y5,Q949Y5,Q949Y5,True,,unmapped_to_nodes,,False,55.34635871,0.995500278,0.032234049
