node,abundance_file_1,n_uniprot_abundance_values_file_1,matched_uniprot_accessions_file_1,abundance_file_2,n_uniprot_abundance_values_file_2,matched_uniprot_accessions_file_2,abundance_file_3,n_uniprot_abundance_values_file_3,matched_uniprot_accessions_file_3,abundance_file_4,n_uniprot_abundance_values_file_4,matched_uniprot_accessions_file_4,abundance_file_5,n_uniprot_abundance_values_file_5,matched_uniprot_accessions_file_5,abundance_file_6,n_uniprot_abundance_values_file_6,matched_uniprot_accessions_file_6,abundance_file_7,n_uniprot_abundance_values_file_7,matched_uniprot_accessions_file_7,n_abundance_files_with_values,harmonized_abundance
AT5G47870,71.7,1,Q9FIJ4,82.7,1.0,Q9FIJ4,19.1,1.0,Q9FIJ4,128.0,1.0,Q9FIJ4,122.0,1.0,Q9FIJ4,,,,,,,5,82.7
AT5G47880,24.2,1,Q39097,23.2,1.0,Q39097,24.3,1.0,Q39097,33.0,1.0,Q39097,66.6,1.0,Q39097,,,,,,,5,24.3
AT5G47890,218.0,1,Q9FIJ2,35.7,1.0,Q9FIJ2,63.4,1.0,Q9FIJ2,441.0,1.0,Q9FIJ2,204.0,1.0,Q9FIJ2,,,,,,,5,204.0
AT5G47910,13.4,1,Q9FIJ0,30.5,1.0,Q9FIJ0,9.86,1.0,Q9FIJ0,16.8,1.0,Q9FIJ0,5.53,1.0,Q9FIJ0,,,,,,,5,13.4
AT5G47930,357.0,1,Q8L953,333.0,1.0,Q8L953,289.0,1.0,Q8L953,548.0,1.0,Q8L953,7.79,1.0,Q8L953,,,,,,,5,333.0
AT5G47990,53.0,1,Q9FI39,1.47,1.0,Q9FI39,2.32,1.0,Q9FI39,117.0,1.0,Q9FI39,17.6,1.0,Q9FI39,,,,,,,5,17.6
AT5G48030,12.0,1,Q8GWW8,17.6,1.0,Q8GWW8,5.49,1.0,Q8GWW8,18.6,1.0,Q8GWW8,49.3,1.0,Q8GWW8,,,,,,,5,17.6
AT5G48120,1.36,1,Q0WVF8,1.02,1.0,Q0WVF8,0.414,1.0,Q0WVF8,2.33,1.0,Q0WVF8,12.7,1.0,Q0WVF8,,,,,,,5,1.36
AT5G48140,1.33,1,Q9LUB8,,,,4.85,1.0,Q9LUB8,,,,4.24,1.0,Q9LUB8,,,,,,,3,4.24
AT5G48160,1.41,1,Q9LUB7,1.48,1.0,Q9LUB7,,,,2.78,1.0,Q9LUB7,1.55,1.0,Q9LUB7,,,,,,,4,1.5150000000000001
AT5G48230,293.0,1,Q8S4Y1,84.1,1.0,Q8S4Y1,244.0,1.0,Q8S4Y1,446.0,1.0,Q8S4Y1,547.0,1.0,Q8S4Y1,109.0,1.0,Q8S4Y1,75.7,1.0,Q8S4Y1,7,244.0
AT5G48300,187.0,1,P55228,73.1,1.0,P55228,142.0,1.0,P55228,158.0,1.0,P55228,255.0,1.0,P55228,419.0,1.0,P55228,380.0,1.0,P55228,7,187.0
AT5G48380,16.0,1,Q9ASS4,4.39,1.0,Q9ASS4,27.4,1.0,Q9ASS4,18.3,1.0,Q9ASS4,7.62,1.0,Q9ASS4,,,,,,,5,16.0
AT5G48480,231.0,1,Q9LV66,882.0,1.0,Q9LV66,196.0,1.0,Q9LV66,178.0,1.0,Q9LV66,639.0,1.0,Q9LV66,,,,,,,5,231.0
AT5G48570,11.4,1,Q9FJL3,21.1,1.0,Q9FJL3,1.28,1.0,Q9FJL3,19.6,1.0,Q9FJL3,10.3,1.0,Q9FJL3,,,,,,,5,11.4
AT5G48640,0.029,1,Q9FJK6,0.275,1.0,Q9FJK6,,,,,,,,,,,,,,,,2,0.15200000000000002
AT5G48760,194.0,1,Q9FKC0,230.0,1.0,Q9FKC0,306.0,1.0,Q9FKC0,194.0,1.0,Q9FKC0,174.0,1.0,Q9FKC0,,,,,,,5,194.0
AT5G48820,0.027,1,Q9FKB5,0.251,1.0,Q9FKB5,,,,,,,,,,,,,,,,2,0.139
AT5G48870,51.2,1,Q9FKB0,168.0,1.0,Q9FKB0,9.18,1.0,Q9FKB0,68.7,1.0,Q9FKB0,35.7,1.0,Q9FKB0,,,,,,,5,51.2
AT5G48900,10.5,1,Q93WF1,2.92,1.0,Q93WF1,3.84,1.0,Q93WF1,20.5,1.0,Q93WF1,1.28,1.0,Q93WF1,,,,,,,5,3.84
AT5G48930,53.0,1,Q9FI78,32.9,1.0,Q9FI78,4.04,1.0,Q9FI78,108.0,1.0,Q9FI78,44.4,1.0,Q9FI78,,,,,,,5,44.4
AT5G48960,35.1,1,F4K3A9,27.0,1.0,F4K3A9,19.8,1.0,F4K3A9,51.6,1.0,F4K3A9,109.0,1.0,F4K3A9,15.2,1.0,F4K3A9,20.1,1.0,F4K3A9,7,27.0
AT5G49020,19.3,1,A3KPF2,2.41,1.0,A3KPF2,2.48,1.0,A3KPF2,41.0,1.0,A3KPF2,14.5,1.0,A3KPF2,,,,,,,5,14.5
AT5G49030,30.0,1,Q8RXK8,4.09,1.0,Q8RXK8,27.5,1.0,Q8RXK8,37.1,1.0,Q8RXK8,63.7,1.0,Q8RXK8,27.3,1.0,Q8RXK8,32.4,1.0,Q8RXK8,7,30.0
AT5G49060,0.13,1,Q9FH28,,,,,,,0.292,1.0,Q9FH28,,,,,,,,,,2,0.211
AT5G49160,0.57,1,P34881,3.78,1.0,P34881,,,,0.319,1.0,P34881,2.95,1.0,P34881,,,,,,,4,1.76
AT5G49190,4.2,1,Q00917,1.08,1.0,Q00917,6.74,1.0,Q00917,4.55,1.0,Q00917,32.5,1.0,Q00917,,,,,,,5,4.55
AT5G49270,3.25,1,Q9FJ13,0.155,1.0,Q9FJ13,,,,7.26,1.0,Q9FJ13,0.5,1.0,Q9FJ13,,,,,,,4,1.875
AT5G49310,2.04,1,Q9FJ09,1.25,1.0,Q9FJ09,2.65,1.0,Q9FJ09,2.61,1.0,Q9FJ09,4.8,1.0,Q9FJ09,,,,,,,5,2.61
AT5G49360,154.0,1,Q9FGY1,28.2,1.0,Q9FGY1,75.7,1.0,Q9FGY1,114.0,1.0,Q9FGY1,369.0,1.0,Q9FGY1,401.0,1.0,Q9FGY1,479.0,1.0,Q9FGY1,7,154.0
AT5G49460,142.0,1,Q9FGX1,48.3,1.0,Q9FGX1,88.3,1.0,Q9FGX1,246.0,1.0,Q9FGX1,125.0,1.0,Q9FGX1,12.2,1.0,Q9FGX1,19.8,1.0,Q9FGX1,7,88.3
AT5G49510,44.1,1,P57741,18.5,1.0,P57741,47.4,1.0,P57741,63.9,1.0,P57741,124.0,1.0,P57741,,,,,,,5,47.4
AT5G49570,7.56,1,Q9FGY9,3.74,1.0,Q9FGY9,1.39,1.0,Q9FGY9,15.1,1.0,Q9FGY9,9.42,1.0,Q9FGY9,,,,,,,5,7.56
AT5G49650,54.3,1,Q949W8,30.5,1.0,Q949W8,48.7,1.0,Q949W8,82.1,1.0,Q949W8,185.0,1.0,Q949W8,,,,,,,5,54.3
AT5G49660,0.412,1,Q9FGL5,0.263,1.0,Q9FGL5,0.076,1.0,Q9FGL5,0.795,1.0,Q9FGL5,1.27,1.0,Q9FGL5,,,,,,,5,0.412
AT5G49720,25.9,1,Q38890,37.4,1.0,Q38890,13.3,1.0,Q38890,40.7,1.0,Q38890,33.7,1.0,Q38890,,,,,,,5,33.7
