source,target
AT1G04240,AT1G66350
AT1G04240,AT1G69690
AT1G04240,AT2G18790
AT1G04240,AT3G15540
AT1G04240,AT3G15660
AT1G04240,AT3G16830
AT1G04240,AT3G17600
AT1G04240,AT3G23050
AT1G04240,AT3G50060
AT1G04240,AT3G62980
AT1G04240,AT4G02150
AT1G04240,AT4G14550
AT1G04240,AT4G14560
AT1G04240,AT4G23980
AT1G04240,AT4G32570
AT1G04240,AT4G34530
AT1G04240,AT4G37260
AT1G04240,AT5G12980
AT1G04240,AT5G20730
AT1G04240,AT5G27030
AT1G04240,AT5G37020
AT1G04240,AT5G43700
AT1G04240,AT5G57180
AT1G04240,AT5G60450
AT1G04250,AT1G04250
AT1G04250,AT1G04550
AT1G04250,AT1G15750
AT1G04250,AT1G19850
AT1G04250,AT1G30330
AT1G04250,AT1G51950
AT1G04250,AT1G53230
AT1G04250,AT1G59750
AT1G04250,AT1G66350
AT1G04250,AT1G69690
AT1G04250,AT1G71230
AT1G04250,AT3G08505
AT1G04250,AT3G15030
AT1G04250,AT3G15540
AT1G04250,AT3G17600
AT1G04250,AT3G23050
AT1G04250,AT3G47620
AT1G04250,AT3G48590
AT1G04250,AT3G61830
AT1G04250,AT3G62980
AT1G04250,AT4G02150
AT1G04250,AT4G14550
AT1G04250,AT4G14560
AT1G04250,AT4G16143
AT1G04250,AT4G23980
AT1G04250,AT4G36710
AT1G04250,AT5G08330
AT1G04250,AT5G13330
AT1G04250,AT5G20730
AT1G04250,AT5G27030
AT1G04250,AT5G37020
AT1G04250,AT5G43700
AT1G04250,AT5G59380
AT1G04250,AT5G60450
AT1G04250,AT5G62000
AT1G04270,AT4G17730
AT1G04310,AT1G04310
AT1G04310,AT1G21270
AT1G04310,AT2G29100
AT1G04310,AT5G03280
AT1G04310,AT5G04870
AT1G04310,AT5G05760
AT1G04310,AT5G23860
AT1G04360,AT1G04360
AT1G04360,AT1G08720
AT1G04400,AT1G04400
AT1G04400,AT1G26260
AT1G04400,AT2G18790
AT1G04400,AT2G32950
AT1G04400,AT2G46340
AT1G04400,AT3G13670
AT1G04400,AT4G34530
AT1G04410,AT4G09000
AT1G04410,AT5G38480
AT1G04410,AT5G60640
AT1G04410,AT5G65430
AT1G04480,AT4G17730
AT1G04550,AT1G04550
AT1G04550,AT1G15750
AT1G04550,AT1G19850
AT1G04550,AT1G30330
AT1G04550,AT1G45249
AT1G04550,AT1G51950
AT1G04550,AT3G15540
AT1G04550,AT3G17600
AT1G04550,AT3G23050
AT1G04550,AT3G61830
AT1G04550,AT3G62980
AT1G04550,AT4G14550
AT1G04550,AT4G14560
AT1G04550,AT4G23980
AT1G04550,AT5G20730
AT1G04550,AT5G37020
AT1G04550,AT5G43700
AT1G04550,AT5G60450
AT1G04650,AT3G22880
AT1G04650,AT3G27120
AT1G04650,AT5G20850
AT1G04690,AT4G23650
AT1G04690,AT5G46240
AT1G04750,AT1G12360
AT1G04750,AT3G11820
AT1G04750,AT4G32650
AT1G04750,AT5G46240
AT1G04750,AT5G58430
AT1G04870,AT3G57870
AT1G04870,AT5G15840
AT1G04950,AT1G54140
AT1G05000,AT1G18080
AT1G05000,AT1G35720
AT1G05000,AT2G26400
AT1G05000,AT3G15730
AT1G05000,AT3G59220
AT1G05000,AT3G60600
AT1G05000,AT4G02510
AT1G05000,AT4G34460
AT1G05000,AT5G05000
AT1G05000,AT5G05760
AT1G05000,AT5G19620
AT1G05000,AT5G67380
AT1G05190,AT3G11630
