AGI,Fan2024_root_100kg_diff_log2k,Fan2024_root_100kg_k_fold_change,Fan2024_root_100kg_ctrl_log2k_mean,Fan2024_root_100kg_temp30_log2k_mean,Fan2024_root_1500g_diff_log2k,Fan2024_root_1500g_k_fold_change,Fan2024_root_1500g_ctrl_log2k_mean,Fan2024_root_1500g_temp30_log2k_mean,Fan2024_root_soluble_diff_log2k,Fan2024_root_soluble_k_fold_change,Fan2024_root_soluble_ctrl_log2k_mean,Fan2024_root_soluble_temp30_log2k_mean,Fan2024_shoot_100kg_diff_log2k,Fan2024_shoot_100kg_k_fold_change,Fan2024_shoot_100kg_ctrl_log2k_mean,Fan2024_shoot_100kg_temp30_log2k_mean,Fan2024_shoot_1500g_diff_log2k,Fan2024_shoot_1500g_k_fold_change,Fan2024_shoot_1500g_ctrl_log2k_mean,Fan2024_shoot_1500g_temp30_log2k_mean,Fan2024_shoot_soluble_diff_log2k,Fan2024_shoot_soluble_k_fold_change,Fan2024_shoot_soluble_ctrl_log2k_mean,Fan2024_shoot_soluble_temp30_log2k_mean
AT3G16470,0.253,1.1916825745740462,-5.007,-4.754,,,,,,,,,,,,,,,,,,,,
AT3G16640,,,,,0.426,1.3435034257212968,-5.459,-5.033,,,,,,,,,,,,,0.466,1.3812744481438568,-5.502,-4.903
AT3G18780,0.244,1.1842716118536327,-5.49,-5.246,,,,,,,,,,,,,,,,,,,,
AT3G19820,0.299,1.2302913447511443,-5.205,-4.908,,,,,,,,,,,,,,,,,,,,
AT3G20050,,,,,,,,,0.214,1.1598996545054343,-5.193,-4.979,,,,,,,,,,,,
AT3G20370,,,,,0.246,1.1859144994109478,-6.32,-5.993,,,,,,,,,,,,,,,,
AT3G22890,,,,,,,,,,,,,,,,,,,,,0.556,1.470187336389041,-5.204,-4.648
AT3G23400,,,,,,,,,,,,,0.299,1.2302913447511443,-6.06,-5.762,0.297,1.22858698044565,-6.272,-5.974,,,,
AT3G23990,0.779,1.7159410608573817,-5.669,-4.929,0.56,1.4742692172911012,-5.816,-5.256,,,,,,,,,,,,,,,,
AT3G26060,,,,,,,,,,,,,,,,,,,,,0.347,1.2719130067435738,-6.376,-6.029
AT3G27240,0.2,1.148698354997035,-5.393,-5.194,,,,,,,,,,,,,,,,,,,,
AT3G29250,,,,,,,,,0.263,1.1999713823732154,-5.28,-5.018,,,,,,,,,,,,
AT3G32980,0.382,1.303147149363294,-6.261,-5.714,,,,,,,,,,,,,,,,,,,,
AT3G42050,0.276,1.210833083950554,-5.415,-5.084,,,,,,,,,,,,,,,,,,,,
AT3G43810,0.399,1.3185936144923665,-6.116,-5.665,,,,,0.272,1.2074805914864963,-5.314,-5.06,,,,,,,,,,,,
AT3G44110,0.528,1.4419288714602247,-4.652,-4.075,,,,,,,,,,,,,,,,,,,,
AT3G45930,,,,,0.103,1.0740044716201242,-5.983,-5.88,,,,,,,,,,,,,,,,
AT3G46320,,,,,0.103,1.0740044716201242,-5.983,-5.88,,,,,,,,,,,,,,,,
AT3G46430,0.372,1.2941456544828533,-5.572,-5.214,,,,,,,,,,,,,,,,,,,,
AT3G46780,,,,,,,,,,,,,,,,,0.277,1.211672660430243,-6.073,-5.753,,,,
AT3G47070,,,,,,,,,,,,,,,,,,,,,0.363,1.2860974834306034,-6.093,-5.73
AT3G47470,,,,,,,,,,,,,0.453,1.3688838130918384,-6.196,-5.752,0.515,1.428994139741093,-6.327,-5.812,0.394,1.314031627149371,-6.334,-5.94
AT3G48420,,,,,,,,,,,,,,,,,,,,,0.584,1.4989996017555474,-6.619,-6.035
AT3G48890,0.4,1.3195079107728942,-5.261,-4.862,,,,,,,,,,,,,,,,,,,,
AT3G50820,,,,,,,,,,,,,0.485,1.3995858655951958,-6.166,-5.681,0.509,1.4230634612345952,-6.364,-5.855,,,,
AT3G51240,,,,,,,,,-0.311,0.8060828314929676,-4.508,-4.82,,,,,,,,,,,,
AT3G52140,0.347,1.2719130067435738,-4.627,-4.279,,,,,,,,,,,,,,,,,,,,
AT3G52300,0.252,1.1908568493649683,-5.566,-5.347,0.201,1.149494848034677,-5.715,-5.514,,,,,,,,,,,,,,,,
AT3G52380,,,,,,,,,,,,,,,,,,,,,0.903,1.8699503955029109,-6.178,-5.275
AT3G52400,0.596,1.5115199283162266,-5.478,-4.882,,,,,,,,,,,,,,,,,,,,
AT3G52730,0.325,1.252664438624128,-5.547,-5.166,,,,,,,,,,,,,,,,,,,,
AT3G52880,,,,,,,,,,,,,,,,,,,,,0.519,1.4329616503730997,-5.877,-5.358
AT3G52930,0.147,1.107264584484285,-5.508,-5.361,0.227,1.17039864147459,-5.556,-5.308,,,,,0.368,1.290562490451779,-5.639,-5.272,,,,,0.17,1.1250584846888094,-5.701,-5.53
AT3G53420,0.425,1.3425725027802633,-5.389,-4.86,,,,,,,,,,,,,,,,,,,,
AT3G53730,,,,,0.103,1.0740044716201242,-5.983,-5.88,,,,,,,,,,,,,,,,
AT3G53990,0.908,1.8764423930013423,-5.505,-4.597,,,,,,,,,,,,,,,,,,,,
AT3G54890,,,,,,,,,,,,,0.426,1.3435034257212968,-6.287,-5.885,0.43,1.3472335768656902,-6.376,-6.051,,,,
AT3G55440,,,,,,,,,0.273,1.2083178433899424,-5.235,-4.962,,,,,,,,,0.328,1.2552719912826433,-5.677,-5.349
AT3G55800,,,,,,,,,,,,,,,,,,,,,0.168,1.123499903031645,-6.149,-5.994
AT3G56150,0.408,1.3268451405971617,-4.981,-4.528,,,,,,,,,,,,,,,,,,,,
AT3G56190,0.577,1.4917440266914654,-4.929,-4.351,,,,,,,,,,,,,,,,,,,,
AT3G58610,,,,,,,,,,,,,,,,,,,,,0.245,1.1850927709415822,-5.63,-5.385
AT3G58730,0.379,1.3004401465484803,-5.659,-5.279,,,,,,,,,0.399,1.3185936144923665,-5.499,-5.1,,,,,,,,
AT3G59780,,,,,,,,,,,,,,,,,0.361,1.2843158089894255,-6.574,-6.212,,,,
AT3G60750,,,,,,,,,0.252,1.1908568493649683,-5.654,-5.402,,,,,,,,,0.134,1.097331937579243,-6.211,-6.092
AT3G61050,,,,,,,,,,,,,0.337,1.2631272618457992,-5.816,-5.479,,,,,,,,
AT3G61070,0.663,1.5833717317425435,-5.671,-5.008,,,,,,,,,,,,,,,,,,,,
AT3G61430,0.687,1.6099322752422436,-5.72,-5.041,,,,,,,,,,,,,,,,,,,,
AT3G61440,,,,,,,,,,,,,0.719,1.646040690557416,-5.921,-5.202,,,,,,,,
AT3G61470,,,,,,,,,,,,,,,,,0.382,1.303147149363294,-5.941,-5.559,,,,
AT3G62290,0.51,1.4240501955970717,-5.259,-4.593,,,,,0.388,1.3085780714550102,-4.916,-4.529,0.617,1.5336826596730921,-5.472,-4.854,,,,,,,,
AT3G63140,,,,,,,,,,,,,,,,,,,,,0.502,1.416175438214544,-6.837,-6.211
AT3G63460,0.276,1.210833083950554,-5.006,-4.73,,,,,,,,,,,,,,,,,,,,
AT4G01050,,,,,,,,,,,,,0.319,1.2474655719140457,-6.029,-5.71,0.456,1.3717332885905975,-6.202,-5.746,,,,
AT4G01150,,,,,,,,,,,,,0.651,1.570256237347145,-6.228,-5.237,0.367,1.2896682506558859,-6.249,-5.916,,,,
AT4G02450,,,,,,,,,,,,,,,,,,,,,0.335,1.2613774088312495,-5.664,-5.329
AT4G02520,,,,,,,,,0.302,1.2328523254638066,-6.244,-5.873,,,,,,,,,,,,
AT4G02770,,,,,,,,,,,,,0.276,1.210833083950554,-6.184,-5.869,0.446,1.3622580346404882,-6.366,-5.927,,,,
AT4G02930,0.908,1.8764423930013423,-5.967,-5.058,0.709,1.634670656976566,-5.821,-5.111,,,,,,,,,,,,,,,,
AT4G03280,,,,,,,,,,,,,0.297,1.22858698044565,-5.877,-5.58,0.339,1.264879542353937,-5.986,-5.65,,,,
AT4G03520,,,,,,,,,,,,,,,,,,,,,0.527,1.4409297488379211,-5.683,-5.156
AT4G04640,,,,,,,,,,,,,0.391,1.311302014215647,-5.972,-5.607,0.23,1.1728349492318788,-5.992,-5.8,,,,
AT4G05160,0.594,1.5094259685205598,-5.718,-5.124,,,,,,,,,,,,,,,,,,,,
AT4G05180,,,,,,,,,,,,,,,,,,,,,0.379,1.3004401465484803,-6.117,-5.737
AT4G09000,,,,,,,,,,,,,,,,,,,,,0.347,1.2719130067435738,-5.679,-5.331
AT4G09320,,,,,,,,,,,,,,,,,,,,,0.23,1.1728349492318788,-5.842,-5.612
AT4G09650,,,,,,,,,,,,,0.438,1.3547249774853678,-5.893,-5.455,0.355,1.2789855812774287,-6.077,-5.723,,,,
AT4G09800,0.173,1.1274004121454215,-5.068,-4.938,,,,,,,,,,,,,,,,,,,,
AT4G10340,,,,,,,,,,,,,0.401,1.320422841015,-6.203,-5.798,0.515,1.428994139741093,-6.379,-5.742,,,,
AT4G11010,,,,,,,,,,,,,,,,,,,,,0.298,1.2294388672545806,-6.543,-6.245
AT4G12650,0.695,1.6188844330948169,-4.78,-4.085,,,,,,,,,,,,,,,,,,,,
AT4G12800,,,,,,,,,,,,,0.337,1.2631272618457992,-6.277,-5.94,,,,,,,,
AT4G13670,,,,,,,,,,,,,0.562,1.476314405682833,-5.909,-5.347,,,,,,,,
AT4G13850,,,,,,,,,0.329,1.2561423811435273,-4.539,-4.152,,,,,,,,,,,,
AT4G14880,,,,,,,,,,,,,,,,,,,,,0.529,1.4429286868616282,-5.831,-5.302
AT4G15000,0.253,1.1916825745740462,-5.098,-4.845,,,,,,,,,,,,,,,,,,,,
AT4G16720,0.255,1.193335743031722,-5.374,-5.118,,,,,,,,,,,,,,,,,,,,
AT4G17390,0.255,1.193335743031722,-5.374,-5.118,,,,,,,,,,,,,,,,,,,,
AT4G19006,,,,,,,,,0.391,1.311302014215647,-5.431,-5.041,,,,,,,,,,,,
AT4G20260,,,,,0.596,1.5115199283162266,-6.099,-5.503,0.41250000000000003,1.3309902472237434,-5.621,-5.209,,,,,,,,,0.517,1.4309765200229125,-5.991,-5.456
AT4G20360,,,,,,,,,,,,,0.44,1.3566043274476718,-6.138,-5.699,0.434,1.3509740845356375,-6.21,-5.639,0.496,1.4102979604843895,-5.98,-5.484
AT4G21150,0.329,1.2561423811435273,-5.319,-5.029,,,,,,,,,,,,,,,,,,,,
AT4G21280,,,,,,,,,,,,,0.415,1.3332986770911985,-6.928,-6.43,,,,,0.538,1.4519582799038944,-6.442,-5.904
AT4G23100,,,,,,,,,,,,,,,,,,,,,0.821,1.7666301029629303,-6.052,-5.231
AT4G23400,0.523,1.4369401765440633,-5.969,-5.728,,,,,,,,,,,,,,,,,,,,
AT4G23670,,,,,,,,,,,,,,,,,,,,,1.487,2.803054898161492,-6.55,-5.063
AT4G23850,0.25,1.189207115002721,-5.336,-5.087,,,,,,,,,,,,,,,,,,,,
AT4G24190,,,,,,,,,,,,,0.903,1.8699503955029109,-5.395,-4.477,,,,,0.587,1.5021199269409293,-5.033,-4.446
AT4G24830,,,,,,,,,,,,,,,,,,,,,0.279,1.213353560248693,-5.863,-5.583
AT4G25740,0.274,1.2091556758333615,-5.117,-4.843,0.223,1.1671581018184676,-5.063,-4.84,,,,,,,,,,,,,,,,
AT4G26690,0.847,1.7987566242955038,-5.954,-5.165,,,,,,,,,,,,,,,,,,,,
AT4G29060,,,,,,,,,,,,,,,,,,,,,0.461,1.3764956015906973,-5.995,-5.568
AT4G29480,0.44,1.3566043274476718,-5.888,-5.448,,,,,,,,,,,,,,,,,,,,
AT4G30190,0.388,1.3085780714550102,-4.901,-4.512,0.228,1.1712101812188098,-4.855,-4.627,,,,,0.444,1.360370852405955,-5.503,-5.059,,,,,,,,
AT4G31340,0.385,1.3058597870889177,-4.819,-4.434,,,,,,,,,,,,,,,,,,,,
AT4G32260,,,,,,,,,,,,,0.45,1.3660402567543954,-6.122,-5.692,0.271,1.2066439197207628,-6.241,-6.015,,,,
AT4G32470,0.23,1.1728349492318788,-5.251,-4.998,,,,,,,,,,,,,,,,,,,,
AT4G33010,,,,,,,,,,,,,0.344,1.2692708860198048,-5.886,-5.541,,,,,,,,
AT4G33360,0.41,1.3286858140965117,-5.352,-4.942,,,,,,,,,,,,,,,,,,,,
AT4G34450,0.261,1.1983090213394187,-5.128,-4.946,,,,,,,,,,,,,,,,,,,,
AT4G34700,-0.279,0.8241620849532405,-5.811,-6.113,,,,,,,,,,,,,,,,,,,,
AT4G35000,0.531,1.4449303979235255,-5.314,-4.784,,,,,,,,,,,,,,,,,,,,
AT4G35090,,,,,,,,,0.817,1.7617387482539584,-5.333,-4.515,,,,,,,,,,,,
AT4G35100,0.41,1.3286858140965117,-5.851,-5.441,,,,,,,,,0.691,1.6144021490095297,-6.121,-5.429,,,,,,,,
AT4G35790,0.343,1.2683913993258673,-6.043,-5.7,,,,,,,,,,,,,,,,,,,,
AT4G35830,,,,,,,,,0.447,1.3632026072825076,-5.469,-5.022,,,,,,,,,,,,
AT4G37070,0.487,1.401527449080746,-6.245,-5.669,,,,,,,,,,,,,,,,,,,,
AT4G37930,,,,,,,,,,,,,0.397,1.3167669220592433,-5.903,-5.562,0.428,1.3453672085218262,-6.098,-5.489,0.36,1.2834258975629043,-5.899,-5.542
AT4G38740,,,,,,,,,,,,,,,,,,,,,0.804,1.7459351822675258,-5.663,-4.86
AT4G39080,,,,,,,,,,,,,0.303,1.2337071698094966,-5.826,-5.542,,,,,,,,
AT4G39260,,,,,,,,,0.307,1.2371324786871727,-5.019,-4.712,,,,,,,,,,,,
AT4G39460,,,,,,,,,,,,,0.396,1.3158545250290081,-6.404,-6.008,,,,,,,,
AT5G01530,,,,,,,,,,,,,0.331,1.2578849718360179,-6.038,-5.706,0.426,1.3435034257212968,-6.155,-5.73,,,,
AT5G02500,0.435,1.3519108330281258,-5.026,-4.551,,,,,,,,,0.674,1.595490479618066,-5.732,-5.058,,,,,0.53,1.4439291955224962,-5.456,-4.954
AT5G03290,-0.272,0.8281706613345456,-5.891,-6.162,,,,,,,,,,,,,,,,,,,,
AT5G04140,,,,,,,,,,,,,,,,,,,,,0.383,1.3040507352585602,-6.256,-5.837
AT5G04740,0.276,1.210833083950554,-5.598,-5.322,,,,,,,,,,,,,,,,,,,,
AT5G05010,0.433,1.3500379851227458,-5.508,-5.075,,,,,,,,,,,,,,,,,,,,
AT5G05740,,,,,,,,,,,,,0.431,1.3481677317370566,-6.668,-6.237,,,,,,,,
AT5G06290,,,,,,,,,,,,,,,,,,,,,0.911,1.8803484050182522,-6.776,-5.865
AT5G07350,0.313,1.2422882817844394,-4.995,-4.682,,,,,,,,,,,,,,,,,,,,
AT5G08050,,,,,,,,,,,,,0.316,1.2448742353821702,-6.115,-5.8,,,,,,,,
AT5G08670,0.425,1.3425725027802633,-5.745,-5.34,0.373,1.295042998854425,-5.975,-5.638,,,,,0.422,1.339783602427841,-6.115,-5.669,,,,,,,,
AT5G08680,0.425,1.3425725027802633,-5.745,-5.34,0.373,1.295042998854425,-5.975,-5.638,,,,,0.422,1.339783602427841,-6.115,-5.669,,,,,,,,
AT5G08690,0.425,1.3425725027802633,-5.745,-5.34,0.373,1.295042998854425,-5.975,-5.638,,,,,0.422,1.339783602427841,-6.115,-5.669,,,,,,,,
AT5G09660,,,,,,,,,,,,,0.28,1.214194884395047,-5.944,-5.646,0.339,1.264879542353937,-5.872,-5.533,0.627,1.54435026618357,-5.918,-5.203
AT5G09810,,,,,,,,,,,,,0.601,1.516767545374442,-5.68,-5.079,0.672,1.5932801925711653,-5.733,-5.061,0.633,1.5507864126940096,-5.415,-4.781
AT5G09978,0.717,1.6437603745897011,-6.217,-5.5,,,,,,,,,,,,,,,,,,,,
AT5G10160,,,,,0.515,1.428994139741093,-6.028,-5.513,,,,,,,,,,,,,,,,
AT5G11670,,,,,,,,,0.282,1.2158792831830971,-5.192,-4.967,,,,,,,,,,,,
AT5G13420,,,,,,,,,0.216,1.161508731925722,-5.311,-5.097,,,,,,,,,,,,
AT5G13450,0.309,1.2388486977839088,-5.605,-5.25,0.382,1.303147149363294,-6.01,-5.628,,,,,,,,,,,,,,,,
AT5G14040,0.263,1.1999713823732154,-5.532,-5.269,0.229,1.1720222836745138,-5.586,-5.411,,,,,0.55,1.4640856959456254,-6.232,-5.623,0.397,1.3167669220592433,-6.042,-5.586,,,,
AT5G14670,0.51,1.4240501955970717,-5.259,-4.593,,,,,0.388,1.3085780714550102,-4.916,-4.529,0.617,1.5336826596730921,-5.472,-4.854,,,,,,,,
AT5G14740,,,,,,,,,,,,,,,,,0.427,1.3444349941526261,-6.559,-6.132,,,,
AT5G15090,0.504,1.4181400356794587,-5.481,-4.928,0.715,1.6414832176209966,-5.888,-5.165,,,,,0.553,1.4671333441673235,-6.082,-5.528,0.604,1.5199248564015158,-6.238,-5.634,,,,
AT5G15520,,,,,,,,,,,,,0.621,1.5379408312702687,-5.155,-4.609,0.539,1.45296504957137,-5.139,-4.6,,,,
AT5G15650,0.439,1.355664326800001,-5.638,-5.199,,,,,,,,,,,,,,,,,,,,
AT5G16590,0.35,1.2745606273192622,-4.923,-4.573,,,,,,,,,,,,,,,,,,,,
AT5G16710,,,,,,,,,,,,,,,,,,,,,1.082,2.1169687897502656,-6.816,-5.74
AT5G17170,,,,,,,,,,,,,0.403,1.3222546051425748,-5.768,-5.365,0.301,1.2319980734457558,-5.721,-5.307,,,,
AT5G17920,0.264,1.2008034274852086,-5.24,-4.97,0.217,1.1623141075181171,-5.332,-5.115,0.113,1.081474763483618,-4.994,-4.881,0.29,1.2226402776920684,-5.725,-5.323,0.247,1.1867367976565322,-5.606,-5.187,0.196,1.145517897979757,-5.487,-5.275
AT5G19510,0.518,1.4319687412011435,-5.265,-4.747,,,,,,,,,,,,,,,,,0.672,1.5932801925711653,-5.537,-4.865
AT5G20010,,,,,0.567,1.4814397980203198,-5.183,-4.617,,,,,,,,,,,,,,,,
AT5G20020,,,,,0.567,1.4814397980203198,-5.183,-4.617,,,,,,,,,,,,,,,,
AT5G20290,0.178,1.1313144628459002,-5.072,-4.859,,,,,,,,,,,,,,,,,,,,
AT5G20630,,,,,,,,,,,,,,,,,,,,,1.064,2.09072020041033,-6.951,-5.887
AT5G20720,,,,,,,,,,,,,,,,,,,,,0.662,1.5822746023708998,-5.994,-5.3
AT5G21274,0.399,1.3185936144923665,-6.116,-5.665,,,,,0.272,1.2074805914864963,-5.314,-5.06,,,,,,,,,,,,
AT5G22580,,,,,,,,,,,,,,,,,,,,,0.871,1.828930178999803,-5.038,-4.167
AT5G23060,,,,,,,,,,,,,0.297,1.22858698044565,-6.213,-5.942,,,,,,,,
AT5G23120,,,,,,,,,,,,,,,,,0.347,1.2719130067435738,-6.549,-6.203,,,,
AT5G23820,,,,,,,,,,,,,,,,,,,,,1.077,2.109644634136123,-7.732,-6.655
AT5G25100,0.42,1.337927554786112,-4.651,-4.244,,,,,,,,,,,,,,,,,,,,
AT5G26260,,,,,0.404,1.3231714399081203,-5.54,-5.246,0.475,1.389918219842337,-5.764,-5.35,,,,,,,,,,,,
AT5G26280,0.662,1.5822746023708998,-5.794,-5.181,0.48,1.3947436663504054,-5.543,-4.931,,,,,,,,,-0.449,0.7325504373056688,-8.472,-9.024,,,,
AT5G26780,,,,,,,,,-0.884,0.54186298342239,-5.356,-6.24,,,,,,,,,,,,
AT5G27540,,,,,,,,,,,,,0.534,1.447938172379559,-5.33,-4.797,,,,,,,,
AT5G28540,,,,,0.634,1.5518617085497122,-5.351,-4.565,,,,,0.798,1.7386891201800434,-5.201,-4.536,,,,,,,,
AT5G35530,0.301,1.2319980734457558,-5.085,-4.784,,,,,,,,,,,,,,,,,,,,
AT5G35630,,,,,,,,,,,,,,,,,0.58,1.4948492486349383,-6.395,-5.986,0.561,1.4752914570828395,-6.289,-5.695
AT5G36230,0.772,1.7076354287824898,-5.473,-4.701,,,,,,,,,,,,,,,,,,,,
AT5G36700,,,,,,,,,,,,,,,,,,,,,0.533,1.4469348858705258,-6.256,-5.724
AT5G36880,,,,,,,,,,,,,,,,,,,,,0.281,1.215036791905016,-6.17,-5.889
AT5G37360,,,,,,,,,,,,,0.474,1.3889551357651104,-5.573,-5.098,,,,,,,,
AT5G38410,,,,,,,,,,,,,,,,,0.611,1.5273174979607005,-6.415,-5.804,,,,
AT5G38420,,,,,,,,,,,,,,,,,0.611,1.5273174979607005,-6.415,-5.804,,,,
AT5G38430,,,,,,,,,,,,,,,,,,,,,0.437,1.353786279052459,-6.245,-5.808
AT5G40770,0.546,1.4600320106545217,-5.579,-4.989,0.539,1.45296504957137,-5.7,-5.161,,,,,0.624,1.5411422167168156,-5.867,-5.242,,,,,,,,
AT5G42980,0.645,1.563739286257187,-5.037,-4.392,,,,,0.399,1.3185936144923665,-4.869,-4.471,,,,,,,,,0.412,1.330529041080686,-4.951,-4.54
AT5G44130,,,,,,,,,,,,,0.355,1.2789855812774287,-5.602,-5.247,,,,,,,,
AT5G44340,,,,,,,,,,,,,0.411,1.329607108181715,-5.98,-5.541,,,,,,,,
AT5G44380,,,,,1.329,2.5122847622870546,-7.283,-5.954,,,,,,,,,,,,,,,,
AT5G44610,0.617,1.5336826596730921,-5.536,-4.918,,,,,,,,,,,,,,,,,,,,
AT5G45390,,,,,,,,,,,,,,,,,,,,,0.325,1.252664438624128,-6.355,-6.03
AT5G47030,0.25,1.189207115002721,-5.594,-5.344,,,,,,,,,,,,,,,,,,,,
AT5G47210,,,,,,,,,,,,,,,,,,,,,0.352,1.2763287688289529,-5.402,-5.049
AT5G49910,,,,,,,,,,,,,,,,,,,,,0.337,1.2631272618457992,-5.742,-5.404
AT5G50920,,,,,,,,,,,,,0.38,1.3013418554419336,-5.7,-5.217,,,,,0.388,1.3085780714550102,-5.51,-5.044
AT5G52650,0.274,1.2091556758333615,-5.117,-4.843,0.223,1.1671581018184676,-5.063,-4.84,,,,,,,,,,,,,,,,
AT5G52840,,,,,,,,,,,,,0.396,1.3158545250290081,-6.103,-5.728,,,,,,,,
AT5G53560,0.57,1.4845235706290492,-5.183,-4.717,0.564,1.478362431273842,-5.242,-4.678,,,,,,,,,,,,,,,,
AT5G54160,,,,,,,,,0.293,1.225185331904676,-5.159,-4.897,,,,,,,,,,,,
AT5G54270,,,,,,,,,,,,,0.343,1.2683913993258673,-6.255,-5.91,0.382,1.303147149363294,-6.373,-5.989,,,,
AT5G54500,0.352,1.2763287688289529,-6.118,-5.767,,,,,,,,,,,,,,,,,,,,
AT5G55190,,,,,0.567,1.4814397980203198,-5.183,-4.617,,,,,,,,,,,,,,,,
AT5G55220,,,,,,,,,,,,,,,,,,,,,0.731,1.659789171179965,-5.906,-5.175
AT5G56010,0.568,1.482467009802835,-5.129,-4.529,0.502,1.416175438214544,-5.134,-4.54,0.253,1.1916825745740462,-4.794,-4.541,0.58,1.4948492486349383,-5.605,-5.026,,,,,,,,
AT5G56030,,,,,0.502,1.416175438214544,-5.134,-4.54,,,,,0.58,1.4948492486349383,-5.605,-5.026,,,,,,,,
AT5G56500,0.785,1.7230923194240344,-5.898,-5.114,,,,,,,,,,,,,,,,,,,,
AT5G57110,0.346,1.2710316893056663,-5.651,-5.303,,,,,,,,,,,,,,,,,,,,
AT5G58290,0.391,1.311302014215647,-5.183,-4.713,,,,,,,,,,,,,,,,,,,,
AT5G58330,,,,,,,,,,,,,,,,,,,,,0.464,1.3793609218270606,-5.925,-5.474
AT5G59613,0.372,1.2941456544828533,-5.572,-5.214,,,,,,,,,,,,,,,,,,,,
AT5G59690,,,,,0.103,1.0740044716201242,-5.983,-5.88,,,,,,,,,,,,,,,,
AT5G59970,,,,,0.103,1.0740044716201242,-5.983,-5.88,,,,,,,,,,,,,,,,
AT5G60660,0.398,1.31767995173414,-6.227,-5.829,,,,,,,,,,,,,,,,,,,,
AT5G61170,,,,,,,,,,,,,0.621,1.5379408312702687,-5.155,-4.609,0.539,1.45296504957137,-5.139,-4.6,,,,
AT5G61780,0.432,1.3491025343396987,-5.094,-4.62,,,,,,,,,,,,,,,,,,,,
AT5G61790,0.521,1.4349495346067032,-4.899,-4.365,,,,,,,,,0.731,1.659789171179965,-5.421,-4.67,,,,,,,,
AT5G62390,0.754,1.6864622205002249,-6.126,-5.423,,,,,,,,,,,,,,,,,,,,
AT5G62690,0.277,1.211672660430243,-4.569,-4.291,,,,,,,,,,,,,,,,,,,,
AT5G63310,,,,,,,,,,,,,,,,,,,,,0.398,1.31767995173414,-6.873,-6.241
AT5G63890,,,,,,,,,,,,,,,,,,,,,0.61,1.526259208960559,-6.004,-5.394
AT5G65020,0.616,1.5326199602077832,-6.283,-5.668,,,,,,,,,,,,,,,,,,,,
AT5G66190,,,,,,,,,,,,,,,,,0.651,1.570256237347145,-5.946,-5.295,,,,
AT5G66570,,,,,,,,,,,,,0.212,1.1582928061946431,-6.063,-5.851,0.349,1.2736774753264994,-6.423,-5.977,,,,
AT5G66680,,,,,,,,,,,,,0.305,1.2354186371269291,-5.629,-5.323,,,,,,,,
AT5G67500,0.292,1.2243363924002044,-5.465,-5.171,,,,,,,,,,,,,,,,,,,,
ATCG00120,,,,,,,,,,,,,0.34,1.26575659397028,-6.214,-5.869,0.267,1.2033030259995023,-6.308,-6.021,0.386,1.3067652538931733,-6.143,-5.765
ATCG00130,,,,,,,,,,,,,0.148,1.1080323478649259,-6.204,-6.056,,,,,,,,
ATCG00270,,,,,,,,,,,,,0.441,1.3575449798800068,-4.979,-4.501,0.382,1.303147149363294,-4.986,-4.611,,,,
ATCG00280,,,,,,,,,,,,,0.572,1.486582984431015,-5.101,-4.529,0.538,1.4519582799038944,-5.127,-4.575,,,,
ATCG00340,,,,,,,,,,,,,0.439,1.355664326800001,-6.167,-5.708,0.389,1.309485423083565,-6.137,-5.737,,,,
ATCG00350,,,,,,,,,,,,,0.297,1.22858698044565,-6.045,-5.747,0.232,1.1744619712136535,-6.107,-5.884,,,,
ATCG00470,,,,,,,,,,,,,0.41,1.3286858140965117,-5.719,-5.309,0.284,1.2175660186629862,-5.767,-5.483,,,,
ATCG00480,,,,,,,,,,,,,0.331,1.2578849718360179,-5.868,-5.539,0.37,1.2923528306374923,-6.049,-5.636,0.408,1.3268451405971617,-6.022,-5.598
ATCG00490,,,,,,,,,,,,,0.385,1.3058597870889177,-6.176,-5.739,0.399,1.3185936144923665,-6.185,-5.757,0.429,1.3463000692767824,-6.213,-5.741
ATCG00540,,,,,,,,,,,,,0.14,1.1019051158766107,-6.026,-5.891,0.115,1.0829750455259248,-6.16,-6.046,,,,
ATCG00580,,,,,,,,,,,,,0.228,1.1712101812188098,-5.757,-5.529,0.336,1.2622520321121156,-5.939,-5.603,,,,
ATCG00680,,,,,,,,,,,,,0.336,1.2622520321121156,-5.878,-5.539,0.357,1.2807598613297704,-6.04,-5.629,,,,
ATCG00710,,,,,,,,,,,,,0.296,1.2277356839150604,-5.573,-5.277,0.283,1.2167223586340676,-5.71,-5.427,,,,
ATCG00720,,,,,,,,,,,,,0.45,1.3660402567543954,-5.684,-5.234,0.521,1.4349495346067032,-5.756,-5.247,,,,
ATCG00900,,,,,,,,,,,,,0.688,1.6110485820975005,-6.386,-5.85,,,,,,,,
ATCG01100,,,,,,,,,,,,,0.353,1.2772137591953898,-6.294,-5.941,,,,,,,,
ATCG01240,,,,,,,,,,,,,0.688,1.6110485820975005,-6.386,-5.85,,,,,,,,
ATMG00480,0.351,1.2754443916785443,-5.695,-5.344,,,,,,,,,,,,,,,,,,,,
ATMG01190,0.286,1.2192550940763032,-5.633,-5.352,0.272,1.2074805914864963,-5.807,-5.535,0.178,1.1313144628459002,-5.546,-5.378,0.247,1.1867367976565322,-6.078,-5.844,0.134,1.097331937579243,-6.188,-6.053,0.307,1.2371324786871727,-5.947,-5.64
