AGI,Fan2024_root_100kg_diff_log2k,Fan2024_root_100kg_k_fold_change,Fan2024_root_100kg_ctrl_log2k_mean,Fan2024_root_100kg_temp30_log2k_mean,Fan2024_root_1500g_diff_log2k,Fan2024_root_1500g_k_fold_change,Fan2024_root_1500g_ctrl_log2k_mean,Fan2024_root_1500g_temp30_log2k_mean,Fan2024_root_soluble_diff_log2k,Fan2024_root_soluble_k_fold_change,Fan2024_root_soluble_ctrl_log2k_mean,Fan2024_root_soluble_temp30_log2k_mean,Fan2024_shoot_100kg_diff_log2k,Fan2024_shoot_100kg_k_fold_change,Fan2024_shoot_100kg_ctrl_log2k_mean,Fan2024_shoot_100kg_temp30_log2k_mean,Fan2024_shoot_1500g_diff_log2k,Fan2024_shoot_1500g_k_fold_change,Fan2024_shoot_1500g_ctrl_log2k_mean,Fan2024_shoot_1500g_temp30_log2k_mean,Fan2024_shoot_soluble_diff_log2k,Fan2024_shoot_soluble_k_fold_change,Fan2024_shoot_soluble_ctrl_log2k_mean,Fan2024_shoot_soluble_temp30_log2k_mean
AT1G30580,0.416,1.334223169677769,-5.059,-4.643,0.421,1.338855256978442,-5.275,-4.854,,,,,,,,,,,,,,,,
AT1G30690,0.38,1.3013418554419336,-6.49,-6.11,,,,,,,,,,,,,,,,,,,,
AT1G31330,,,,,,,,,,,,,0.299,1.2302913447511443,-6.171,-5.873,0.325,1.252664438624128,-6.318,-5.979,,,,
AT1G32060,,,,,,,,,,,,,,,,,,,,,0.39,1.3103934038583633,-6.316,-5.926
AT1G32080,,,,,,,,,,,,,-0.402,0.7568083964847896,-6.404,-6.806,,,,,,,,
AT1G32470,,,,,,,,,,,,,0.399,1.3185936144923665,-6.342,-5.943,,,,,0.293,1.225185331904676,-6.28,-5.987
AT1G32900,,,,,,,,,,,,,,,,,-0.312,0.8055242910487502,-5.952,-6.222,,,,
AT1G34030,0.173,1.1274004121454215,-5.068,-4.938,,,,,,,,,,,,,,,,,,,,
AT1G42970,,,,,,,,,,,,,0.518,1.4319687412011435,-6.861,-6.207,0.309,1.2388486977839088,-6.716,-6.278,0.2,1.148698354997035,-6.552,-6.339
AT1G43170,0.149,1.1088006436030693,-5.261,-5.008,,,,,,,,,,,,,,,,,,,,
AT1G44575,,,,,,,,,,,,,0.545,1.4590203442401755,-6.239,-5.697,0.424,1.3416422248822613,-6.224,-5.8,,,,
AT1G47128,0.196,1.145517897979757,-6.17,-5.974,,,,,,,,,,,,,,,,,,,,
AT1G49240,0.244,1.1842716118536327,-5.49,-5.246,,,,,,,,,,,,,,,,,,,,
AT1G50010,,,,,,,,,,,,,0.645,1.563739286257187,-5.968,-5.323,,,,,,,,
AT1G51470,,,,,0.379,1.3004401465484803,-7.42,-7.041,,,,,,,,,,,,,,,,
AT1G51980,0.331,1.2578849718360179,-5.635,-5.304,,,,,,,,,,,,,,,,,,,,
AT1G52200,0.385,1.3058597870889177,-5.637,-5.252,,,,,,,,,,,,,,,,,,,,
AT1G52230,,,,,,,,,,,,,,,,,0.353,1.2772137591953898,-6.233,-5.923,,,,
AT1G53240,0.373,1.295042998854425,-5.841,-5.552,,,,,0.515,1.428994139741093,-5.615,-5.021,,,,,0.492,1.4063931999131192,-6.535,-5.795,0.291,1.2234880411318663,-6.148,-5.795
AT1G54000,-0.167,0.8906929006066809,-5.984,-6.151,-0.216,0.860949188338904,-5.864,-6.101,,,,,,,,,,,,,,,,
AT1G54010,,,,,0.435,1.3519108330281258,-5.961,-5.505,,,,,,,,,0.973,1.9629181277069585,-7.438,-6.451,,,,
AT1G54780,,,,,,,,,,,,,,,,,0.356,1.2798724138443078,-6.459,-5.884,,,,
AT1G55160,0.416,1.334223169677769,-5.89,-5.474,,,,,,,,,,,,,,,,,,,,
AT1G55490,,,,,0.987,1.9820591265281582,-6.222,-5.235,,,,,,,,,,,,,,,,
AT1G55670,,,,,,,,,,,,,0.506,1.4201073585434272,-5.998,-5.471,0.331,1.2578849718360179,-5.998,-5.667,,,,
AT1G56070,0.208,1.1550857845535842,-5.125,-4.917,,,,,,,,,0.244,1.1842716118536327,-5.633,-5.396,,,,,0.219,1.1639265344021366,-5.511,-5.184
AT1G56190,,,,,,,,,,,,,,,,,,,,,0.537,1.4509522078341786,-6.535,-6.02
AT1G56340,,,,,,,,,0.465,1.380317353396629,-5.062,-4.597,,,,,,,,,,,,
AT1G58380,0.253,1.1916825745740462,-5.108,-4.855,,,,,,,,,,,,,,,,,,,,
AT1G58684,0.253,1.1916825745740462,-5.108,-4.855,,,,,,,,,,,,,,,,,,,,
AT1G58983,0.253,1.1916825745740462,-5.108,-4.855,,,,,,,,,,,,,,,,,,,,
AT1G59359,0.253,1.1916825745740462,-5.108,-4.855,,,,,,,,,,,,,,,,,,,,
AT1G59870,0.322,1.2500623025852091,-4.718,-4.471,,,,,,,,,,,,,,,,,,,,
AT1G61520,,,,,,,,,,,,,,,,,0.417,1.3351483032959082,-6.003,-5.586,,,,
AT1G62750,,,,,,,,,,,,,,,,,,,,,0.445,1.3613141164994733,-5.65,-5.146
AT1G62780,,,,,,,,,,,,,,,,,,,,,0.792,1.7314731310393168,-5.145,-4.353
AT1G63500,0.469,1.38414971605148,-5.714,-5.245,,,,,,,,,,,,,,,,,,,,
AT1G65820,0.437,1.353786279052459,-5.414,-4.977,,,,,,,,,,,,,,,,,,,,
AT1G65930,,,,,,,,,0.144,1.1049644847999116,-5.2,-5.081,,,,,,,,,0.269,1.2049723149947862,-6.098,-5.759
AT1G65980,,,,,,,,,0.633,1.5507864126940096,-5.283,-4.669,,,,,,,,,,,,
AT1G66270,,,,,,,,,,,,,,,,,,,,,1.097,2.1390941757704893,-6.06,-4.963
AT1G66280,0.464,1.3793609218270606,-6.594,-6.012,0.185,1.136816973236014,-6.15,-5.932,,,,,,,,,,,,,,,,
AT1G66580,,,,,0.219,1.1639265344021366,-5.036,-4.817,,,,,,,,,,,,,,,,
AT1G68010,,,,,,,,,,,,,,,,,0.677,1.5988116607049447,-5.692,-5.015,0.766,1.7005483201283915,-5.393,-4.627
AT1G70770,,,,,0.256,1.1941631870745895,-4.752,-4.415,,,,,,,,,,,,,,,,
AT1G72150,0.523,1.4369401765440633,-5.748,-5.225,,,,,,,,,0.773,1.7088194817794662,-5.561,-4.788,,,,,,,,
AT1G72160,0.326,1.2535330204406905,-5.831,-5.505,,,,,,,,,,,,,,,,,,,,
AT1G72370,0.208,1.1550857845535842,-5.333,-5.11,0.189,1.139973272693461,-5.339,-5.15,,,,,,,,,,,,,,,,
AT1G74470,,,,,,,,,,,,,0.473,1.3879927190155918,-4.746,-4.273,0.513,1.4270145057178787,-4.857,-4.337,,,,
AT1G76030,,,,,0.314,1.2431496689039396,-5.809,-5.539,,,,,0.497,1.4112758434086925,-6.032,-5.594,,,,,,,,
AT1G76080,,,,,,,,,,,,,,,,,,,,,1.026,2.0363703995292415,-5.337,-4.31
AT1G78370,,,,,,,,,,,,,,,,,,,,,0.393,1.3131211254241522,-5.498,-5.105
AT1G78380,,,,,,,,,0.129,1.0935354574846323,-5.422,-5.298,,,,,,,,,0.811,1.7544270974656442,-6.0,-5.14
AT1G78570,0.533,1.4469348858705258,-4.624,-4.1,,,,,,,,,,,,,,,,,,,,
AT1G78850,,,,,-0.81,0.5703818579342118,-7.031,-7.841,,,,,,,,,,,,,,,,
AT1G78860,,,,,-0.81,0.5703818579342118,-7.031,-7.841,,,,,,,,,,,,,,,,
AT1G78900,0.364,1.2869892473012707,-5.955,-5.5,0.307,1.2371324786871727,-5.864,-5.557,,,,,0.406,1.3250070170452075,-5.924,-5.536,,,,,0.421,1.338855256978442,-5.991,-5.569
AT1G79040,,,,,,,,,,,,,0.576,1.4907103867989204,-5.22,-4.748,0.57,1.4845235706290492,-5.457,-4.864,0.741,1.671333917843707,-5.494,-4.752
AT1G79550,,,,,,,,,,,,,,,,,,,,,0.62,1.5368751812880124,-5.734,-5.126
AT2G01520,,,,,,,,,0.317,1.2457374155694738,-4.986,-4.67,,,,,,,,,,,,
AT2G04030,,,,,,,,,,,,,,,,,,,,,1.038,2.053379091439998,-5.701,-4.647
AT2G05710,,,,,,,,,0.3,1.2311444133449163,-5.706,-5.396,,,,,,,,,,,,
AT2G05990,,,,,,,,,0.416,1.334223169677769,-5.898,-5.322,,,,,,,,,,,,
AT2G13360,,,,,,,,,,,,,0.415,1.3332986770911985,-5.829,-5.413,,,,,,,,
AT2G15620,,,,,,,,,,,,,,,,,,,,,0.275,1.2099940892192926,-6.565,-6.29
AT2G16600,,,,,,,,,0.321,1.2491961256533768,-5.239,-4.925,,,,,,,,,0.353,1.2772137591953898,-5.379,-5.026
AT2G18960,0.509,1.4230634612345952,-4.607,-4.136,,,,,,,,,,,,,,,,,,,,
AT2G19730,,,,,,,,,,,,,0.358,1.2816479241601928,-5.983,-5.625,,,,,,,,
AT2G20230,0.672,1.5932801925711653,-5.636,-4.964,,,,,,,,,,,,,,,,,,,,
AT2G20360,,,,,,,,,,,,,0.598,1.5136167929695792,-5.75,-5.151,,,,,,,,
AT2G20580,0.327,1.2544022045209948,-5.334,-5.007,,,,,,,,,,,,,,,,,,,,
AT2G20990,0.269,1.2049723149947862,-5.497,-5.229,,,,,,,,,,,,,,,,,,,,
