AGI,Li2017_k_deg_day_inverse
AT5G66570,0.099
AT5G67030,0.351
AT5G67360,0.261
AT5G67500,0.063
AT5G67590,0.179
ATCG00020,1.081
ATCG00120,0.079
ATCG00130,0.079
ATCG00140,0.081
ATCG00160,0.063
ATCG00270,0.238
ATCG00280,0.248
ATCG00340,0.1
ATCG00350,0.17
ATCG00380,-0.015
ATCG00420,0.187
ATCG00430,0.34
ATCG00470,0.163
ATCG00480,0.112
ATCG00490,0.052
ATCG00540,0.09
ATCG00560,0.182
ATCG00570,0.04
ATCG00580,0.091
ATCG00670,0.021
ATCG00680,0.1
ATCG00710,0.168
ATCG00720,0.138
ATCG00730,0.581
ATCG00780,0.008
ATCG00800,0.032
ATCG00810,0.024
ATCG00820,-0.017
ATCG01060,0.079
ATCG01090,0.23
ATCG01110,0.175
ATMG00070,0.064
ATMG01190,0.05
